Paper,Year,Domain,Environment intervention,Paired runs,Tracking measured,Score sensitivity measured,Fixed rubric/judge,Type-B-like case,Similarity level,Key difference
"Turk - Counterfactual Evaluation Reveals Hidden Capability Profiles in Clinical LLMs and Agents (arXiv:2605.30590)",2026,Clinical LLM/agent decision support,Yes (5 pre-registered case-file mutation families),Yes (baseline vs intervened per case),Yes (CSS),Partial - CMS compared across models by rank correlation, not recomputed per-instance on intervened arm,Yes,Yes (model retrieves correct info but fails to update recommendation),2,"Domain is clinical case QA not CUA/GUI; CSS is the tracking measure itself rather than a metric independent of the score; CMS never recomputed on E1 and differenced per case"
"Dong et al. - How Benchmarks Mis-Score Computer-Use Agents (arXiv:2607.28367)",2026,Computer-use agents,No (retrospective audit of existing trajectories),No,Partial (relabels existing FAIL verdicts),No,Yes (judges relabel existing runs),No (finds false negatives, not score-invariant misses),2,"Post-hoc audit of 150 recorded trajectories, not a controlled paired intervention; no ground-truth state manipulation"
"Lu et al. - AgentRewardBench (arXiv:2504.08942)",2025,Web agents,No,No,No (audits judge accuracy vs human labels),No,Yes,No,2,"Judge-accuracy audit against human relabeling of fixed trajectories, no state intervention or paired runs"
"Cao Driouich Thomas - Beyond Task Completion / Corrupt Success (arXiv:2603.03116)",2026,Tool-use LLM agents (tau-bench),No,No (single-trajectory consistency checks),Partial (procedural integrity violations),No,Yes,Partial (success=1.0 co-occurring with violations),2,"Detects corrupt success via within-trajectory consistency checks, not by re-running under an intervened environment"
"Luo and Peng - Success Is Not Self-Explanatory / AcquaBench (arXiv:2607.24054)",2026,Web/retrieval agents,Partial (varies information availability, not world state),Yes (CLEAN/GOLD/SHAM triplets, same qid),Yes (GOLD-SHAM tests target-tracking),Yes (score deltas +11.3 to +25.9pp),Yes,No,2,"Manipulates what information the agent can access, not a determining set of environment/world state; conflates ground truth and score by construction (SHAM = wrong ground truth)"
"Zhou Liu Li Rossi Hu - Counterfactual Trace Auditing of LLM Agent Skills (arXiv:2605.11946)",2026,Tool-use agents (SWE-Skills-Bench),Partial (skill availability on/off, not environment state),Yes,Partial (behavior-divergence patterns),Yes (pass-rate delta +0.34pp),Yes,Yes (near-flat score masking large behavioral divergence),2,"Independent variable is skill availability, not world-state; no ground-truth state-tracking judgment"
"Weng Feng Xie - Policy Invariance as a Reliability Test for LLM Safety Judges (arXiv:2605.06161)",2026,LLM-as-judge (safety),Partial (perturbs rubric/policy text, not environment),No (single trajectories, varying judge policy),No (no agent under test),Yes (judge verdict stability measured),Yes,No,2,"Intervenes on the judge's policy text, not on environment state; no agent-side tracking measurement at all"
"Gao and Zhou - Can Agent Benchmarks Support Their Scores? (arXiv:2605.10448)",2026,Interactive agents (AndroidWorld AgentDojo AppWorld tau3-bench MiniWoB),No,No,Partial (evidence pass/fail/unknown vs native score),No,Yes,Partial (native score vs evidence-supported bound diverge),1,"Post-hoc evidence-sufficiency audit of existing runs; no state intervention or paired E0/E1 design"
"Advani - From Confident Closing to Silent Failure (arXiv:2606.09863)",2026,Tool-use agents (tau2-bench AppWorld),No,No,Partial (false-success detection AUROC),No,Yes,Yes (agent asserts completion while state shows otherwise),1,"Retrospective classifier study on existing trajectories, not a controlled intervention"
"Gonzalez-Pumariega et al. - On the Reliability of Computer Use Agents (arXiv:2604.17849)",2026,Computer-use agents (OSWorld),Yes (cosmetic OS perturbations: wallpaper cursor dock timezone),Yes (repeated runs under McNemar/Wilcoxon),No,Partial (aggregate pass rate under perturbation),Yes,No,1,"Perturbs cosmetic/UI presentation, not task-relevant determining state; measures only aggregate success/failure, no ground-truth tracking axis"
"Sun et al. - AgentHijack (arXiv:2605.25707)",2026,Computer-use agents (OSWorld),Yes (9 environment corruption types),No (success-rate degradation only),No,Partial (success-rate delta),Yes,No,1,"Corruptions are perceptual/UI noise (pop-ups resolution changes), not semantic ground-truth-bearing state; no tracking measurement"
