benchmark,task_id,model_name,exp_name,family,E,V,n_ann,n_succ,unan_successful,any_successful
webarena,webarena.177,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_webarena,string_url,ABSTAIN,FAIL,2,0,0,0
webarena,webarena.155,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_webarena,string,ABSTAIN,FAIL,2,1,0,1
visualwebarena,visualwebarena.resized.398,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.387,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,url,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.367,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.359,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string_url,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.352,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,DETERMINING,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.351,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.348,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string_url,ABSTAIN,FAIL,1,0,0,0
visualwebarena,visualwebarena.resized.331,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct_on_visualwebarena.resized,string,ABSTAIN,FAIL,1,0,0,0
