item_id,task,png,isolation,notes
U2S1-0001,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0001.png,,
U2S1-0002,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0002.png,,
U2S1-0003,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0003.png,,
U2S1-0004,View the speakers that are bluetooth and wireless and filter the results to only show models that are on sale and cost less than $50.,png/U2S1-0004.png,,
U2S1-0005,Check if a visa is required to work in the UK for longer than 6 months in Healthcare as an American citizen.,png/U2S1-0005.png,,
U2S1-0006,Check the status of bus S92 for any disruptions on new.mta.info.,png/U2S1-0006.png,,
U2S1-0007,Find the comments made by the user Separate-Camp7202.,png/U2S1-0007.png,,
U2S1-0008,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0008.png,,
U2S1-0009,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0009.png,,
U2S1-0010,"Estimate the federal income tax I would owe on $158,500 of taxable income in ZIP code 97007, filing as single.",png/U2S1-0010.png,,
U2S1-0011,Look for the best rated BBB accredited charity near 12023.,png/U2S1-0011.png,,
U2S1-0012,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0012.png,,
U2S1-0013,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0013.png,,
U2S1-0014,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0014.png,,
U2S1-0015,"Get quotes for a package weighing 10 lbs with dimensions of 2 inches in length, width, and height, being shipped from Long Beach, 90802 to Portland, 97201.",png/U2S1-0015.png,,
U2S1-0016,Find a house cleaning service in 10001 on a weekly basis.,png/U2S1-0016.png,,
U2S1-0017,Find press releases by the antitrust division in 2022.,png/U2S1-0017.png,,
U2S1-0018,"Find parking near the San Francisco Museum of Modern Art from June 18, 1:00 PM to 5:00 PM. I'm driving a Ford F-150 and need a garage that allows in-and-out privileges. If there are multiple options, show me the details of the one with the lowest price.",png/U2S1-0018.png,,
U2S1-0019,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0019.png,,
U2S1-0020,Find press releases by the antitrust division in 2022.,png/U2S1-0020.png,,
U2S1-0021,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0021.png,,
U2S1-0022,Find the HGX H100 driver for Ubuntu 22.04 on AMD64 CPU.,png/U2S1-0022.png,,
U2S1-0023,Calculate the shipping cost for 4 pound package from Texas to New York.,png/U2S1-0023.png,,
U2S1-0024,Find a 2022 Tesla Model 3 on CarMax.,png/U2S1-0024.png,,
U2S1-0025,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0025.png,,
U2S1-0026,Find 12 Monkeys community and view the latest posts mentioning James Cole.,png/U2S1-0026.png,,
U2S1-0027,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0027.png,,
U2S1-0028,Find an energetic hairless dog with medium barking.,png/U2S1-0028.png,,
U2S1-0029,Identify the open issue with the most comments in the first trending open-source repository this week.,png/U2S1-0029.png,,
