item_id,equivalence,ts
U2S2-0001,EQUIVALENT,2026-09-14T15:39:18Z
U2S2-0002,EQUIVALENT,2026-09-14T15:39:25Z
U2S2-0003,EQUIVALENT,2026-09-14T15:39:28Z
U2S2-0004,EQUIVALENT,2026-09-14T15:39:54Z
U2S2-0005,EQUIVALENT,2026-09-14T15:40:00Z
U2S2-0006,EQUIVALENT,2026-09-14T15:40:09Z
U2S2-0007,EQUIVALENT,2026-09-14T15:40:12Z
U2S2-0008,EQUIVALENT,2026-09-14T15:40:14Z
U2S2-0009,EQUIVALENT,2026-09-14T15:40:19Z
U2S2-0010,EQUIVALENT,2026-09-14T15:40:28Z
U2S2-0011,EQUIVALENT,2026-09-14T15:40:32Z
U2S2-0012,EQUIVALENT,2026-09-14T15:40:33Z
U2S2-0013,EQUIVALENT,2026-09-14T15:41:03Z
U2S2-0014,EQUIVALENT,2026-09-14T15:41:09Z
U2S2-0015,EQUIVALENT,2026-09-14T15:42:33Z
U2S2-0016,EQUIVALENT,2026-09-14T15:42:40Z
U2S2-0017,EQUIVALENT,2026-09-14T15:42:50Z
U2S2-0018,EQUIVALENT,2026-09-14T15:42:57Z
