item_id,s1_item_id,lane,task,leg,component,target_frame,is_last,foil,gallery_frames,equivalence
P3H-S2-0001,P3H-S1-0015,gpt,aggregation-f020,G0,batbucks_cash,54,1,1,"52,53",EQUIVALENT
P3H-S2-0002,P3H-S1-0037,flash,counterfactual-f010,G0,liquid_cash,17,1,1,"15,16",EQUIVALENT
P3H-S2-0003,P3H-S1-0008,gpt,aggregation-f020,G0,batbucks_cash,53,0,0,"54,52",EQUIVALENT
P3H-S2-0004,P3H-S1-0024,flash,retrieval-f009,G1,nyc_flight_confirmation,32,0,0,"40,31",EQUIVALENT
P3H-S2-0005,P3H-S1-0020,flash,counterfactual-f013,G0,gringotts_savings,56,1,1,"49,48",NOT_EQUIVALENT
P3H-S2-0006,P3H-S1-0007,flash,aggregation-f020,G1,batbucks_cash,30,0,0,"31,29",EQUIVALENT
P3H-S2-0007,P3H-S1-0038,flash,counterfactual-f010,G0,liquid_cash,15,0,0,"17,16",EQUIVALENT
P3H-S2-0008,P3H-S1-0036,flash,counterfactual-f013,G1,gringotts_savings,67,1,1,"65,66",NOT_EQUIVALENT
P3H-S2-0009,P3H-S1-0012,flash,counterfactual-f013,G0,batbucks_dividends,49,0,0,"48,56",NOT_EQUIVALENT
P3H-S2-0010,P3H-S1-0021,flash,counterfactual-f013,G0,batbucks_dividends,48,0,0,"49,56",NOT_EQUIVALENT
P3H-S2-0011,P3H-S1-0034,flash,retrieval-f009,G1,nyc_flight_confirmation,40,1,1,"32,31",EQUIVALENT
P3H-S2-0012,P3H-S1-0016,flash,counterfactual-f010,G0,liquid_cash,16,0,0,"15,17",EQUIVALENT
P3H-S2-0013,P3H-S1-0029,flash,retrieval-f010,G1,host_name,12,0,0,"22,13",NOT_EQUIVALENT
P3H-S2-0014,P3H-S1-0035,flash,retrieval-f009,G1,nyc_flight_confirmation,31,0,0,"32,40",EQUIVALENT
P3H-S2-0015,P3H-S1-0002,flash,aggregation-f020,G1,batbucks_cash,31,1,1,"30,29",EQUIVALENT
