model,lane,task,condition,trajectory_path,guest_artifact_path,sql_patch_path,trajectory_exists,step_count,last_action,writer_status,writer_score,notes
Claude,primary,retrieval-f001,base,results/stage4-retrieval-f001/base/retrieval-f001/traj.jsonl,results/stage4-retrieval-f001/base/retrieval-f001.guest.json,,True,6,DONE,ok,100/100,
Claude,primary,retrieval-f001,cf,results/stage4-retrieval-f001/cf/retrieval-f001/traj.jsonl,results/stage4-retrieval-f001/cf/retrieval-f001.guest.json,results/stage4-retrieval-f001/cf/sql-patch.json,True,5,DONE,ok,100/100,
Claude,primary,aggregation-f003,base,results/stage4-aggregation-f003/base/aggregation-f003/traj.jsonl,results/stage4-aggregation-f003/base/aggregation-f003.guest.json,,True,14,DONE,ok,80/80,
Claude,primary,aggregation-f003,cf,results/stage4-aggregation-f003/cf/aggregation-f003/traj.jsonl,results/stage4-aggregation-f003/cf/aggregation-f003.guest.json,results/stage4-aggregation-f003/cf/sql-patch.json,True,17,DONE,ok,80/80,
GPT,primary,retrieval-f001,base,results/stage4-openai-retrieval-f001/base/retrieval-f001/traj.jsonl,results/stage4-openai-retrieval-f001/base/retrieval-f001.guest.json,,True,13,DONE,ok,100/100,
GPT,primary,retrieval-f001,cf,results/stage4-openai-retrieval-f001/cf/retrieval-f001/traj.jsonl,results/stage4-openai-retrieval-f001/cf/retrieval-f001.guest.json,results/stage4-openai-retrieval-f001/cf/sql-patch.json,True,9,DONE,ok,100/100,
GPT,primary,aggregation-f003,base,results/stage4-openai-aggregation-f003/base/aggregation-f003/traj.jsonl,results/stage4-openai-aggregation-f003/base/aggregation-f003.guest.json,,True,28,DONE,ok,50/50,
GPT,primary,aggregation-f003,cf,results/stage4-openai-aggregation-f003/cf/aggregation-f003/traj.jsonl,results/stage4-openai-aggregation-f003/cf/aggregation-f003.guest.json,results/stage4-openai-aggregation-f003/cf/sql-patch.json,True,21,DONE,ok,50/50,
Qwen3.5-35B-A3B,primary,retrieval-f001,base,results/stage4-qwen35a3b-retrieval-f001/base/retrieval-f001/traj.jsonl,results/stage4-qwen35a3b-retrieval-f001/base/retrieval-f001.guest.json,,True,7,DONE,ok,100/100,
Qwen3.5-35B-A3B,primary,retrieval-f001,cf,results/stage4-qwen35a3b-retrieval-f001/cf/retrieval-f001/traj.jsonl,results/stage4-qwen35a3b-retrieval-f001/cf/retrieval-f001.guest.json,results/stage4-qwen35a3b-retrieval-f001/cf/sql-patch.json,True,7,DONE,ok,100/100,
Qwen3.5-35B-A3B,primary,aggregation-f003,base,results/stage4-qwen35a3b-aggregation-f003/base/aggregation-f003/traj.jsonl,results/stage4-qwen35a3b-aggregation-f003/base/aggregation-f003.guest.json,,True,14,DONE,ok,75/0,
Qwen3.5-35B-A3B,primary,aggregation-f003,cf,results/stage4-qwen35a3b-aggregation-f003/cf/aggregation-f003/traj.jsonl,results/stage4-qwen35a3b-aggregation-f003/cf/aggregation-f003.guest.json,results/stage4-qwen35a3b-aggregation-f003/cf/sql-patch.json,True,26,FAIL,ok,75/0,canonical CF directory is the retry3 recaptcha FAIL cell; scores.json result_dir points at cf-retry3; writer table status=ok and judge 75/0 must not be treated as a valid pair; last traj action is FAIL
Qwen3.5-35B-A3B,primary,aggregation-f003,cf-attempt1,results/stage4-qwen35a3b-aggregation-f003/cf-attempt1-80step-no_done/aggregation-f003/traj.jsonl,results/stage4-qwen35a3b-aggregation-f003/cf-attempt1-80step-no_done/aggregation-f003.guest.json,results/stage4-qwen35a3b-aggregation-f003/cf-attempt1-80step-no_done/sql-patch.json,True,80,TOOL_CALL,ok,75/0,"failed CF attempt 1: 80 TOOL_CALL steps, never DONE"
Qwen3.5-35B-A3B,primary,aggregation-f003,cf-attempt2,results/stage4-qwen35a3b-aggregation-f003/cf-attempt2-step2-no_actions/aggregation-f003/traj.jsonl,results/stage4-qwen35a3b-aggregation-f003/cf-attempt2-step2-no_actions/aggregation-f003.guest.json,results/stage4-qwen35a3b-aggregation-f003/cf-attempt2-step2-no_actions/sql-patch.json,True,1,"pyautogui.click(1039, 133)",ok,75/0,failed CF attempt 2: 1-step traj then stop (no DONE)
Qwen3.5-9B,size_ablation,retrieval-f001,base,results/stage4-qwen359b-retrieval-f001/base/retrieval-f001/traj.jsonl,results/stage4-qwen359b-retrieval-f001/base/retrieval-f001.guest.json,,True,4,DONE,ok,80/80,
Qwen3.5-9B,size_ablation,retrieval-f001,cf,results/stage4-qwen359b-retrieval-f001/cf/retrieval-f001/traj.jsonl,results/stage4-qwen359b-retrieval-f001/cf/retrieval-f001.guest.json,results/stage4-qwen359b-retrieval-f001/cf/sql-patch.json,True,4,DONE,ok,80/80,
Qwen3.5-9B,size_ablation,aggregation-f003,base,results/stage4-qwen359b-aggregation-f003/base/aggregation-f003/traj.jsonl,results/stage4-qwen359b-aggregation-f003/base/aggregation-f003.guest.json,,True,22,DONE,ok,50/80,
