agent_file,task_id,T,n_scored,n_qualified,n_keep,n_discard,hit_cap
agente_results.json,0059adc6b12a3822305deb68929b2de8,2,11,10,10,0,0
agente_results.json,0059adc6b12a3822305deb68929b2de8,3,11,9,9,0,0
agente_results.json,0059adc6b12a3822305deb68929b2de8,4,11,4,4,0,0
agente_results.json,005be9dd91c95669d6ddde9ae667125c,2,7,0,0,0,0
agente_results.json,005be9dd91c95669d6ddde9ae667125c,3,7,0,0,0,0
agente_results.json,005be9dd91c95669d6ddde9ae667125c,4,7,0,0,0,0
agente_results.json,0170ca95038b05fa58d463fe627ac605,2,7,4,4,0,0
agente_results.json,0170ca95038b05fa58d463fe627ac605,3,7,4,4,0,0
agente_results.json,0170ca95038b05fa58d463fe627ac605,4,7,2,2,0,0
agente_results.json,01abae9608f2d8752a83e08f136f720c,2,5,2,2,0,0
agente_results.json,01abae9608f2d8752a83e08f136f720c,3,5,0,0,0,0
agente_results.json,01abae9608f2d8752a83e08f136f720c,4,5,0,0,0,0
agente_results.json,046138801a05ddf56ad94e8672942496,2,7,6,6,0,0
agente_results.json,046138801a05ddf56ad94e8672942496,3,7,2,2,0,0
agente_results.json,046138801a05ddf56ad94e8672942496,4,7,1,1,0,0
agente_results.json,05483c50cc9b04c8ac44c574758fb2bd,2,21,21,21,0,0
agente_results.json,05483c50cc9b04c8ac44c574758fb2bd,3,21,21,21,0,0
agente_results.json,05483c50cc9b04c8ac44c574758fb2bd,4,21,2,2,0,0
agente_results.json,0632e496d37badee0350dad358f047c5,2,7,4,4,0,0
agente_results.json,0632e496d37badee0350dad358f047c5,3,7,2,2,0,0
agente_results.json,0632e496d37badee0350dad358f047c5,4,7,1,1,0,0
agente_results.json,070c907d34a4ce71dfdbea38f9c5d4d8,2,13,10,10,0,0
agente_results.json,070c907d34a4ce71dfdbea38f9c5d4d8,3,13,7,7,0,0
agente_results.json,070c907d34a4ce71dfdbea38f9c5d4d8,4,13,3,3,0,0
agente_results.json,07bdc595306729a028ba06cc7451a80a,2,11,3,3,0,0
agente_results.json,07bdc595306729a028ba06cc7451a80a,3,11,0,0,0,0
agente_results.json,07bdc595306729a028ba06cc7451a80a,4,11,0,0,0,0
agente_results.json,07ec4a12cba8090e2dc524d558ac7675,2,17,15,15,0,0
agente_results.json,07ec4a12cba8090e2dc524d558ac7675,3,17,14,14,0,0
agente_results.json,07ec4a12cba8090e2dc524d558ac7675,4,17,5,5,0,0
agente_results.json,0a0fa834ce41b5297c6474293383759d,2,19,0,0,0,0
agente_results.json,0a0fa834ce41b5297c6474293383759d,3,19,0,0,0,0
agente_results.json,0a0fa834ce41b5297c6474293383759d,4,19,0,0,0,0
agente_results.json,0a54069a0ef542e571d1fee7f39c93d5,2,25,21,21,0,0
agente_results.json,0a54069a0ef542e571d1fee7f39c93d5,3,25,21,21,0,0
agente_results.json,0a54069a0ef542e571d1fee7f39c93d5,4,25,8,8,0,0
agente_results.json,0b2623e9fa5cea997f76490bcbc5220f,2,27,21,21,0,0
agente_results.json,0b2623e9fa5cea997f76490bcbc5220f,3,27,20,20,0,0
agente_results.json,0b2623e9fa5cea997f76490bcbc5220f,4,27,5,5,0,0
agente_results.json,0b51b4fa0295ae80ccd176ebdad6fff6,2,17,12,12,0,0
agente_results.json,0b51b4fa0295ae80ccd176ebdad6fff6,3,17,9,9,0,0
agente_results.json,0b51b4fa0295ae80ccd176ebdad6fff6,4,17,0,0,0,0
agente_results.json,0b838cd54f826c59c71f600c56b89a11,2,13,5,5,0,0
agente_results.json,0b838cd54f826c59c71f600c56b89a11,3,13,4,4,0,0
agente_results.json,0b838cd54f826c59c71f600c56b89a11,4,13,0,0,0,0
agente_results.json,0e42c3a73f2aece1f854e0ba55b7c8b0,2,11,9,9,0,0
agente_results.json,0e42c3a73f2aece1f854e0ba55b7c8b0,3,11,8,8,0,0
agente_results.json,0e42c3a73f2aece1f854e0ba55b7c8b0,4,11,1,1,0,0
agente_results.json,0e5536aaad9d3462b06cf725e6ed535a,2,9,4,4,0,0
agente_results.json,0e5536aaad9d3462b06cf725e6ed535a,3,9,0,0,0,0
agente_results.json,0e5536aaad9d3462b06cf725e6ed535a,4,9,0,0,0,0
agente_results.json,11857213ca01510f12813740afd59918,2,31,21,21,0,0
agente_results.json,11857213ca01510f12813740afd59918,3,31,13,13,0,0
agente_results.json,11857213ca01510f12813740afd59918,4,31,3,3,0,0
agente_results.json,11abb668c751dd56bb41f296a8bb3a13,2,13,8,8,0,0
agente_results.json,11abb668c751dd56bb41f296a8bb3a13,3,13,7,7,0,0
agente_results.json,11abb668c751dd56bb41f296a8bb3a13,4,13,4,4,0,0
agente_results.json,1223b07536a87e0170ff87cbbebd1d3c,2,7,6,6,0,0
agente_results.json,1223b07536a87e0170ff87cbbebd1d3c,3,7,6,6,0,0
agente_results.json,1223b07536a87e0170ff87cbbebd1d3c,4,7,1,1,0,0
agente_results.json,123e8c2fc453f55fadd1d0b9aaf94df4,2,19,19,19,0,0
agente_results.json,123e8c2fc453f55fadd1d0b9aaf94df4,3,19,17,17,0,0
agente_results.json,123e8c2fc453f55fadd1d0b9aaf94df4,4,19,8,8,0,0
agente_results.json,157f4a79d55e8fa3fd55ba772ba40fbc,2,17,10,10,0,0
agente_results.json,157f4a79d55e8fa3fd55ba772ba40fbc,3,17,7,7,0,0
agente_results.json,157f4a79d55e8fa3fd55ba772ba40fbc,4,17,0,0,0,0
agente_results.json,15be05973fba714e490cd9c884e4f072,2,5,2,2,0,0
agente_results.json,15be05973fba714e490cd9c884e4f072,3,5,0,0,0,0
agente_results.json,15be05973fba714e490cd9c884e4f072,4,5,0,0,0,0
agente_results.json,16200f51d63f0a47a58fa17acd49e368,2,3,1,1,0,0
agente_results.json,16200f51d63f0a47a58fa17acd49e368,3,3,1,1,0,0
agente_results.json,16200f51d63f0a47a58fa17acd49e368,4,3,1,1,0,0
agente_results.json,180ed2ec377ef3a4af9035a21522091a,2,5,4,4,0,0
agente_results.json,180ed2ec377ef3a4af9035a21522091a,3,5,4,4,0,0
agente_results.json,180ed2ec377ef3a4af9035a21522091a,4,5,0,0,0,0
agente_results.json,199be0b54a436daee74247971fc684ee,2,39,34,34,0,0
agente_results.json,199be0b54a436daee74247971fc684ee,3,39,33,33,0,0
agente_results.json,199be0b54a436daee74247971fc684ee,4,39,7,7,0,0
agente_results.json,1ab384fb3a791edfb410213cc6b82151,2,15,0,0,0,0
agente_results.json,1ab384fb3a791edfb410213cc6b82151,3,15,0,0,0,0
agente_results.json,1ab384fb3a791edfb410213cc6b82151,4,15,0,0,0,0
agente_results.json,1aeca99e6a60b0e3aefb3ef212bdce79,2,7,1,1,0,0
agente_results.json,1aeca99e6a60b0e3aefb3ef212bdce79,3,7,0,0,0,0
agente_results.json,1aeca99e6a60b0e3aefb3ef212bdce79,4,7,0,0,0,0
agente_results.json,1b867afecf072cb877ebfa4069263746,2,5,0,0,0,0
agente_results.json,1b867afecf072cb877ebfa4069263746,3,5,0,0,0,0
agente_results.json,1b867afecf072cb877ebfa4069263746,4,5,0,0,0,0
agente_results.json,1bc154377120ec15b18dbabdba49c741,2,29,15,15,0,0
agente_results.json,1bc154377120ec15b18dbabdba49c741,3,29,7,7,0,0
agente_results.json,1bc154377120ec15b18dbabdba49c741,4,29,0,0,0,0
agente_results.json,1c3b747ae12ccee895745f82e3f2ef8a,2,7,1,1,0,0
agente_results.json,1c3b747ae12ccee895745f82e3f2ef8a,3,7,1,1,0,0
agente_results.json,1c3b747ae12ccee895745f82e3f2ef8a,4,7,0,0,0,0
agente_results.json,1df24ec81137386d6476bcf343a79012,2,5,5,5,0,0
agente_results.json,1df24ec81137386d6476bcf343a79012,3,5,4,4,0,0
agente_results.json,1df24ec81137386d6476bcf343a79012,4,5,0,0,0,0
agente_results.json,1fc28d91d25ccd1c6ba268101326a654,2,3,2,2,0,0
agente_results.json,1fc28d91d25ccd1c6ba268101326a654,3,3,2,2,0,0
agente_results.json,1fc28d91d25ccd1c6ba268101326a654,4,3,1,1,0,0
agente_results.json,207e933d1bba815bcb58664b5d82c085,2,13,6,6,0,0
agente_results.json,207e933d1bba815bcb58664b5d82c085,3,13,0,0,0,0
agente_results.json,207e933d1bba815bcb58664b5d82c085,4,13,0,0,0,0
agente_results.json,20a460a8fe1971b84411c5b1e6ac4186,2,17,13,13,0,0
agente_results.json,20a460a8fe1971b84411c5b1e6ac4186,3,17,11,11,0,0
agente_results.json,20a460a8fe1971b84411c5b1e6ac4186,4,17,0,0,0,0
agente_results.json,2207bb4f21786690cfed20b37253fb8b,2,21,3,3,0,0
agente_results.json,2207bb4f21786690cfed20b37253fb8b,3,21,3,3,0,0
agente_results.json,2207bb4f21786690cfed20b37253fb8b,4,21,0,0,0,0
agente_results.json,2218042362d8fae73756eb309848c2b2,2,35,18,18,0,0
agente_results.json,2218042362d8fae73756eb309848c2b2,3,35,13,13,0,0
agente_results.json,2218042362d8fae73756eb309848c2b2,4,35,2,2,0,0
agente_results.json,23204728192da9f73197a613d9681c18,2,7,3,3,0,0
agente_results.json,23204728192da9f73197a613d9681c18,3,7,3,3,0,0
agente_results.json,23204728192da9f73197a613d9681c18,4,7,2,2,0,0
agente_results.json,239a29bde438fe44fe17fe1390ef1634,2,11,1,1,0,0
agente_results.json,239a29bde438fe44fe17fe1390ef1634,3,11,0,0,0,0
agente_results.json,239a29bde438fe44fe17fe1390ef1634,4,11,0,0,0,0
agente_results.json,246d654fab7c31d9651007e39e75f74f,2,8,4,4,0,0
agente_results.json,246d654fab7c31d9651007e39e75f74f,3,8,3,3,0,0
agente_results.json,246d654fab7c31d9651007e39e75f74f,4,8,0,0,0,0
agente_results.json,2532fd402d3c741b79894e6ff2269f53,2,7,4,4,0,0
agente_results.json,2532fd402d3c741b79894e6ff2269f53,3,7,1,1,0,0
agente_results.json,2532fd402d3c741b79894e6ff2269f53,4,7,1,1,0,0
agente_results.json,255bf27c43fd3f9254d6b81a5f36d3a9,2,13,12,12,0,0
agente_results.json,255bf27c43fd3f9254d6b81a5f36d3a9,3,13,11,11,0,0
agente_results.json,255bf27c43fd3f9254d6b81a5f36d3a9,4,13,6,6,0,0
agente_results.json,26784156ae9859a0dd6c5920eb106f91,2,11,8,8,0,0
agente_results.json,26784156ae9859a0dd6c5920eb106f91,3,11,8,8,0,0
agente_results.json,26784156ae9859a0dd6c5920eb106f91,4,11,4,4,0,0
agente_results.json,26810ed9c123a62992e3eed31db3c5ee,2,5,2,2,0,0
agente_results.json,26810ed9c123a62992e3eed31db3c5ee,3,5,2,2,0,0
agente_results.json,26810ed9c123a62992e3eed31db3c5ee,4,5,2,2,0,0
agente_results.json,26a0e5c21c145dd8448aa92f35bec5ea,2,9,7,7,0,0
agente_results.json,26a0e5c21c145dd8448aa92f35bec5ea,3,9,4,4,0,0
agente_results.json,26a0e5c21c145dd8448aa92f35bec5ea,4,9,2,2,0,0
agente_results.json,271b36efd4346721b5542488ff997042,2,11,7,7,0,0
agente_results.json,271b36efd4346721b5542488ff997042,3,11,6,6,0,0
agente_results.json,271b36efd4346721b5542488ff997042,4,11,3,3,0,0
agente_results.json,27fa3ac20745d3d35e89fae157f63069,2,7,0,0,0,0
agente_results.json,27fa3ac20745d3d35e89fae157f63069,3,7,0,0,0,0
agente_results.json,27fa3ac20745d3d35e89fae157f63069,4,7,0,0,0,0
agente_results.json,28e7574e7bd6d14f36d2988a5ef2bd23,2,31,11,11,0,0
agente_results.json,28e7574e7bd6d14f36d2988a5ef2bd23,3,31,11,11,0,0
agente_results.json,28e7574e7bd6d14f36d2988a5ef2bd23,4,31,0,0,0,0
agente_results.json,29526b17a32485742b5ab63507e99417,2,5,5,5,0,0
agente_results.json,29526b17a32485742b5ab63507e99417,3,5,4,4,0,0
agente_results.json,29526b17a32485742b5ab63507e99417,4,5,3,3,0,0
agente_results.json,29b7372d5a3884a2ba831af2d117af3c,2,5,1,1,0,0
agente_results.json,29b7372d5a3884a2ba831af2d117af3c,3,5,1,1,0,0
agente_results.json,29b7372d5a3884a2ba831af2d117af3c,4,5,1,1,0,0
agente_results.json,2c20d87a046fadcb6ff07ee877bfbf37,2,7,3,3,0,0
agente_results.json,2c20d87a046fadcb6ff07ee877bfbf37,3,7,3,3,0,0
agente_results.json,2c20d87a046fadcb6ff07ee877bfbf37,4,7,0,0,0,0
agente_results.json,2c8ef01a92c71ba9ef2e59bb17eea2b3,2,19,1,1,0,0
agente_results.json,2c8ef01a92c71ba9ef2e59bb17eea2b3,3,19,0,0,0,0
agente_results.json,2c8ef01a92c71ba9ef2e59bb17eea2b3,4,19,0,0,0,0
agente_results.json,2d5a7f95f951a26838289dfd629ae850,2,49,35,35,0,0
agente_results.json,2d5a7f95f951a26838289dfd629ae850,3,49,27,27,0,0
agente_results.json,2d5a7f95f951a26838289dfd629ae850,4,49,16,16,0,0
agente_results.json,2dd41b1d0e8f389d0683f4a4627abfe6,2,13,8,8,0,0
agente_results.json,2dd41b1d0e8f389d0683f4a4627abfe6,3,13,8,8,0,0
agente_results.json,2dd41b1d0e8f389d0683f4a4627abfe6,4,13,3,3,0,0
agente_results.json,2e4e21cf1449c6894b17d571c47b77ea,2,6,2,2,0,0
agente_results.json,2e4e21cf1449c6894b17d571c47b77ea,3,6,1,1,0,0
agente_results.json,2e4e21cf1449c6894b17d571c47b77ea,4,6,0,0,0,0
agente_results.json,2fc51dd3febd447f0fdcdabca8d944ce,2,1,0,0,0,0
agente_results.json,2fc51dd3febd447f0fdcdabca8d944ce,3,1,0,0,0,0
agente_results.json,2fc51dd3febd447f0fdcdabca8d944ce,4,1,0,0,0,0
agente_results.json,301f267f421b93045874726183e8f722,2,7,0,0,0,0
agente_results.json,301f267f421b93045874726183e8f722,3,7,0,0,0,0
agente_results.json,301f267f421b93045874726183e8f722,4,7,0,0,0,0
agente_results.json,3084bc225219fcb73dc1cb0f97276c1c,2,19,18,18,0,0
agente_results.json,3084bc225219fcb73dc1cb0f97276c1c,3,19,13,13,0,0
agente_results.json,3084bc225219fcb73dc1cb0f97276c1c,4,19,1,1,0,0
agente_results.json,323bd85e3559655d89e5496b951a25e8,2,5,0,0,0,0
agente_results.json,323bd85e3559655d89e5496b951a25e8,3,5,0,0,0,0
agente_results.json,323bd85e3559655d89e5496b951a25e8,4,5,0,0,0,0
agente_results.json,330cd04c773ac498f51afa4665461ec8,2,31,13,13,0,0
agente_results.json,330cd04c773ac498f51afa4665461ec8,3,31,8,8,0,0
agente_results.json,330cd04c773ac498f51afa4665461ec8,4,31,5,5,0,0
agente_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,2,89,42,42,0,0
agente_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,3,89,18,18,0,0
agente_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,4,89,0,0,0,0
agente_results.json,3443e9c3151fef19a3c3a45eb2c13640,2,7,5,5,0,0
agente_results.json,3443e9c3151fef19a3c3a45eb2c13640,3,7,1,1,0,0
agente_results.json,3443e9c3151fef19a3c3a45eb2c13640,4,7,0,0,0,0
agente_results.json,34992feb69eb8e788faa06868b365c49,2,23,21,21,0,0
agente_results.json,34992feb69eb8e788faa06868b365c49,3,23,14,14,0,0
agente_results.json,34992feb69eb8e788faa06868b365c49,4,23,14,14,0,0
agente_results.json,34ccd15a8ea8fd3895af83f5ccf62369,2,1,0,0,0,0
agente_results.json,34ccd15a8ea8fd3895af83f5ccf62369,3,1,0,0,0,0
agente_results.json,34ccd15a8ea8fd3895af83f5ccf62369,4,1,0,0,0,0
agente_results.json,354b4ddf048815f8fd4163d0d7e1aaa3,2,19,14,14,0,0
agente_results.json,354b4ddf048815f8fd4163d0d7e1aaa3,3,19,12,12,0,0
agente_results.json,354b4ddf048815f8fd4163d0d7e1aaa3,4,19,9,9,0,0
agente_results.json,3621b099326c7aebd2e2dac6be3b52d1,2,15,9,9,0,0
agente_results.json,3621b099326c7aebd2e2dac6be3b52d1,3,15,7,7,0,0
agente_results.json,3621b099326c7aebd2e2dac6be3b52d1,4,15,0,0,0,0
agente_results.json,367d843c640637745e8fafa741cca13b,2,17,16,16,0,0
