item_id,isolation,ts
U2S1-0001,DECISIVE,2026-09-14T11:07:50Z
U2S1-0002,NOT_DECISIVE,2026-09-14T11:07:55Z
U2S1-0003,DECISIVE,2026-09-14T11:07:58Z
U2S1-0004,NOT_DECISIVE,2026-09-14T11:07:59Z
U2S1-0005,NOT_DECISIVE,2026-09-14T11:08:00Z
U2S1-0006,NOT_DECISIVE,2026-09-14T11:08:01Z
U2S1-0007,NOT_DECISIVE,2026-09-14T11:08:02Z
U2S1-0008,NOT_DECISIVE,2026-09-14T11:08:09Z
U2S1-0009,NOT_DECISIVE,2026-09-14T11:08:11Z
U2S1-0010,NOT_DECISIVE,2026-09-14T11:08:12Z
U2S1-0011,NOT_DECISIVE,2026-09-14T11:08:13Z
U2S1-0012,NOT_DECISIVE,2026-09-14T11:08:14Z
U2S1-0013,NOT_DECISIVE,2026-09-14T11:08:15Z
U2S1-0014,NOT_DECISIVE,2026-09-14T11:08:16Z
U2S1-0015,NOT_DECISIVE,2026-09-14T11:08:18Z
U2S1-0016,UNCLEAR,2026-09-14T11:08:20Z
U2S1-0017,NOT_DECISIVE,2026-09-14T11:08:22Z
U2S1-0018,NOT_DECISIVE,2026-09-14T11:08:32Z
U2S1-0019,DECISIVE,2026-09-14T11:08:34Z
U2S1-0020,NOT_DECISIVE,2026-09-14T11:08:37Z
U2S1-0021,NOT_DECISIVE,2026-09-14T11:08:38Z
U2S1-0022,NOT_DECISIVE,2026-09-14T11:08:39Z
U2S1-0023,NOT_DECISIVE,2026-09-14T11:08:40Z
U2S1-0024,NOT_DECISIVE,2026-09-14T11:08:41Z
U2S1-0025,DECISIVE,2026-09-14T11:08:44Z
U2S1-0026,DECISIVE,2026-09-14T11:08:46Z
U2S1-0027,NOT_DECISIVE,2026-09-14T11:08:47Z
U2S1-0028,DECISIVE,2026-09-14T11:09:08Z
U2S1-0029,DECISIVE,2026-09-14T11:09:10Z
U2S1-0030,NOT_DECISIVE,2026-09-14T11:09:11Z
U2S1-0031,NOT_DECISIVE,2026-09-14T11:09:13Z
U2S1-0032,DECISIVE,2026-09-14T11:09:20Z
U2S1-0033,NOT_DECISIVE,2026-09-14T11:09:21Z
U2S1-0034,NOT_DECISIVE,2026-09-14T11:09:26Z
U2S1-0035,DECISIVE,2026-09-14T11:09:29Z
U2S1-0036,NOT_DECISIVE,2026-09-14T11:09:31Z
U2S1-0037,DECISIVE,2026-09-14T11:09:33Z
U2S1-0038,DECISIVE,2026-09-14T11:09:39Z
U2S1-0039,DECISIVE,2026-09-14T11:09:42Z
U2S1-0040,DECISIVE,2026-09-14T11:09:47Z
U2S1-0041,NOT_DECISIVE,2026-09-14T11:09:49Z
U2S1-0042,DECISIVE,2026-09-14T11:09:51Z
U2S1-0043,DECISIVE,2026-09-14T11:09:53Z
U2S1-0044,NOT_DECISIVE,2026-09-14T11:09:55Z
U2S1-0045,DECISIVE,2026-09-14T11:09:57Z
U2S1-0046,NOT_DECISIVE,2026-09-14T11:09:59Z
U2S1-0047,NOT_DECISIVE,2026-09-14T11:10:00Z
U2S1-0048,NOT_DECISIVE,2026-09-14T11:10:01Z
U2S1-0049,NOT_DECISIVE,2026-09-14T11:10:02Z
U2S1-0050,NOT_DECISIVE,2026-09-14T11:10:04Z
U2S1-0051,DECISIVE,2026-09-14T11:10:06Z
U2S1-0052,NOT_DECISIVE,2026-09-14T11:10:07Z
U2S1-0053,DECISIVE,2026-09-14T11:10:13Z
U2S1-0054,NOT_DECISIVE,2026-09-14T11:10:14Z
U2S1-0055,NOT_DECISIVE,2026-09-14T11:10:15Z
U2S1-0056,DECISIVE,2026-09-14T11:12:13Z
U2S1-0057,NOT_DECISIVE,2026-09-14T11:12:15Z
U2S1-0058,NOT_DECISIVE,2026-09-14T11:12:16Z
U2S1-0059,NOT_DECISIVE,2026-09-14T11:12:17Z
U2S1-0060,NOT_DECISIVE,2026-09-14T11:12:25Z
U2S1-0061,NOT_DECISIVE,2026-09-14T11:12:36Z
U2S1-0062,NOT_DECISIVE,2026-09-14T11:12:40Z
U2S1-0063,NOT_DECISIVE,2026-09-14T11:12:41Z
U2S1-0064,DECISIVE,2026-09-14T11:12:43Z
U2S1-0065,NOT_DECISIVE,2026-09-14T11:12:44Z
U2S1-0066,NOT_DECISIVE,2026-09-14T11:12:45Z
U2S1-0067,DECISIVE,2026-09-14T11:12:46Z
U2S1-0068,NOT_DECISIVE,2026-09-14T11:12:48Z
U2S1-0069,NOT_DECISIVE,2026-09-14T11:12:49Z
U2S1-0070,DECISIVE,2026-09-14T11:12:54Z
U2S1-0071,NOT_DECISIVE,2026-09-14T11:12:55Z
U2S1-0072,NOT_DECISIVE,2026-09-14T11:12:56Z
U2S1-0073,NOT_DECISIVE,2026-09-14T11:12:58Z
U2S1-0074,NOT_DECISIVE,2026-09-14T11:12:59Z
U2S1-0075,NOT_DECISIVE,2026-09-14T11:13:00Z
U2S1-0076,UNCLEAR,2026-09-14T11:13:01Z
U2S1-0077,DECISIVE,2026-09-14T11:13:02Z
U2S1-0078,NOT_DECISIVE,2026-09-14T11:13:03Z
U2S1-0079,NOT_DECISIVE,2026-09-14T11:13:04Z
U2S1-0080,NOT_DECISIVE,2026-09-14T11:13:05Z
U2S1-0081,DECISIVE,2026-09-14T11:13:06Z
U2S1-0082,NOT_DECISIVE,2026-09-14T11:13:08Z
U2S1-0083,NOT_DECISIVE,2026-09-14T11:13:09Z
U2S1-0084,DECISIVE,2026-09-14T11:13:10Z
U2S1-0085,NOT_DECISIVE,2026-09-14T11:13:13Z
U2S1-0086,NOT_DECISIVE,2026-09-14T11:13:22Z
U2S1-0087,NOT_DECISIVE,2026-09-14T11:13:23Z
U2S1-0088,NOT_DECISIVE,2026-09-14T11:13:24Z
U2S1-0089,NOT_DECISIVE,2026-09-14T11:13:25Z
U2S1-0090,NOT_DECISIVE,2026-09-14T11:13:31Z
U2S1-0091,DECISIVE,2026-09-14T11:13:32Z
U2S1-0092,NOT_DECISIVE,2026-09-14T11:13:37Z
U2S1-0093,NOT_DECISIVE,2026-09-14T11:13:38Z
U2S1-0094,NOT_DECISIVE,2026-09-14T11:13:39Z
U2S1-0095,NOT_DECISIVE,2026-09-14T11:13:50Z
U2S1-0096,NOT_DECISIVE,2026-09-14T11:13:50Z
U2S1-0097,NOT_DECISIVE,2026-09-14T11:13:51Z
U2S1-0098,NOT_DECISIVE,2026-09-14T11:13:52Z
U2S1-0099,NOT_DECISIVE,2026-09-14T11:13:53Z
U2S1-0100,NOT_DECISIVE,2026-09-14T11:13:54Z
U2S1-0101,NOT_DECISIVE,2026-09-14T11:13:55Z
U2S1-0102,NOT_DECISIVE,2026-09-14T11:13:56Z
U2S1-0103,DECISIVE,2026-09-14T11:13:58Z
U2S1-0104,DECISIVE,2026-09-14T11:13:59Z
U2S1-0105,NOT_DECISIVE,2026-09-14T11:14:03Z
U2S1-0106,DECISIVE,2026-09-14T11:14:10Z
U2S1-0107,DECISIVE,2026-09-14T11:14:11Z
U2S1-0108,DECISIVE,2026-09-14T11:14:12Z
U2S1-0109,NOT_DECISIVE,2026-09-14T11:14:13Z
U2S1-0110,DECISIVE,2026-09-14T11:14:14Z
U2S1-0111,NOT_DECISIVE,2026-09-14T11:14:22Z
U2S1-0112,NOT_DECISIVE,2026-09-14T11:14:23Z
U2S1-0113,NOT_DECISIVE,2026-09-14T11:14:23Z
U2S1-0114,NOT_DECISIVE,2026-09-14T11:14:24Z
U2S1-0115,NOT_DECISIVE,2026-09-14T11:14:26Z
U2S1-0116,NOT_DECISIVE,2026-09-14T11:14:27Z
U2S1-0117,NOT_DECISIVE,2026-09-14T11:14:28Z
U2S1-0118,DECISIVE,2026-09-14T11:14:30Z
U2S1-0119,NOT_DECISIVE,2026-09-14T11:14:30Z
U2S1-0120,DECISIVE,2026-09-14T11:14:31Z
U2S1-0121,DECISIVE,2026-09-14T11:14:32Z
U2S1-0122,NOT_DECISIVE,2026-09-14T11:14:33Z
U2S1-0123,NOT_DECISIVE,2026-09-14T11:14:33Z
U2S1-0124,DECISIVE,2026-09-14T11:14:37Z
U2S1-0125,NOT_DECISIVE,2026-09-14T11:14:41Z
U2S1-0126,NOT_DECISIVE,2026-09-14T11:14:43Z
U2S1-0127,NOT_DECISIVE,2026-09-14T11:14:44Z
U2S1-0128,NOT_DECISIVE,2026-09-14T11:14:50Z
U2S1-0129,NOT_DECISIVE,2026-09-14T11:14:52Z
U2S1-0130,DECISIVE,2026-09-14T11:15:10Z
U2S1-0131,NOT_DECISIVE,2026-09-14T11:15:12Z
U2S1-0132,NOT_DECISIVE,2026-09-14T11:15:18Z
U2S1-0133,DECISIVE,2026-09-14T11:15:22Z
U2S1-0134,DECISIVE,2026-09-14T11:15:23Z
U2S1-0135,DECISIVE,2026-09-14T11:15:24Z
U2S1-0136,DECISIVE,2026-09-14T11:15:32Z
U2S1-0137,NOT_DECISIVE,2026-09-14T11:15:34Z
U2S1-0138,NOT_DECISIVE,2026-09-14T11:15:35Z
U2S1-0139,DECISIVE,2026-09-14T11:15:36Z
U2S1-0140,NOT_DECISIVE,2026-09-14T11:15:36Z
U2S1-0141,DECISIVE,2026-09-14T11:15:37Z
U2S1-0142,NOT_DECISIVE,2026-09-14T11:15:39Z
U2S1-0143,DECISIVE,2026-09-14T11:15:41Z
U2S1-0144,DECISIVE,2026-09-14T11:15:41Z
U2S1-0145,NOT_DECISIVE,2026-09-14T11:15:42Z
U2S1-0146,NOT_DECISIVE,2026-09-14T11:15:43Z
U2S1-0147,DECISIVE,2026-09-14T11:15:45Z
U2S1-0148,NOT_DECISIVE,2026-09-14T11:15:47Z
U2S1-0149,NOT_DECISIVE,2026-09-14T11:15:49Z
U2S1-0150,NOT_DECISIVE,2026-09-14T11:15:50Z
U2S1-0151,NOT_DECISIVE,2026-09-14T11:15:51Z
U2S1-0152,NOT_DECISIVE,2026-09-14T11:15:53Z
U2S1-0153,NOT_DECISIVE,2026-09-14T11:15:53Z
U2S1-0154,DECISIVE,2026-09-14T11:15:54Z
U2S1-0155,DECISIVE,2026-09-14T11:15:58Z
U2S1-0156,NOT_DECISIVE,2026-09-14T11:16:03Z
U2S1-0157,NOT_DECISIVE,2026-09-14T11:16:04Z
U2S1-0158,NOT_DECISIVE,2026-09-14T11:16:06Z
U2S1-0159,NOT_DECISIVE,2026-09-14T11:16:08Z
U2S1-0160,NOT_DECISIVE,2026-09-14T11:16:13Z
U2S1-0161,NOT_DECISIVE,2026-09-14T11:16:15Z
U2S1-0162,NOT_DECISIVE,2026-09-14T11:16:16Z
U2S1-0163,NOT_DECISIVE,2026-09-14T11:16:17Z
U2S1-0164,NOT_DECISIVE,2026-09-14T11:16:18Z
U2S1-0165,NOT_DECISIVE,2026-09-14T11:16:18Z
U2S1-0166,NOT_DECISIVE,2026-09-14T11:16:19Z
U2S1-0167,NOT_DECISIVE,2026-09-14T11:16:20Z
U2S1-0168,NOT_DECISIVE,2026-09-14T11:16:21Z
U2S1-0169,NOT_DECISIVE,2026-09-14T11:16:22Z
U2S1-0170,DECISIVE,2026-09-14T11:16:24Z
U2S1-0171,NOT_DECISIVE,2026-09-14T11:16:25Z
U2S1-0172,DECISIVE,2026-09-14T11:16:26Z
U2S1-0173,DECISIVE,2026-09-14T11:16:29Z
U2S1-0174,NOT_DECISIVE,2026-09-14T11:16:30Z
U2S1-0175,NOT_DECISIVE,2026-09-14T11:16:31Z
U2S1-0176,DECISIVE,2026-09-14T11:16:33Z
U2S1-0177,DECISIVE,2026-09-14T11:16:33Z
U2S1-0178,NOT_DECISIVE,2026-09-14T11:16:35Z
U2S1-0179,NOT_DECISIVE,2026-09-14T11:16:36Z
U2S1-0180,NOT_DECISIVE,2026-09-14T11:16:37Z
U2S1-0181,NOT_DECISIVE,2026-09-14T11:16:38Z
U2S1-0182,NOT_DECISIVE,2026-09-14T11:16:40Z
U2S1-0183,NOT_DECISIVE,2026-09-14T11:16:40Z
U2S1-0184,DECISIVE,2026-09-14T11:16:42Z
U2S1-0185,NOT_DECISIVE,2026-09-14T11:16:43Z
U2S1-0186,NOT_DECISIVE,2026-09-14T11:16:44Z
U2S1-0187,NOT_DECISIVE,2026-09-14T11:16:45Z
U2S1-0188,NOT_DECISIVE,2026-09-14T11:16:47Z
U2S1-0189,NOT_DECISIVE,2026-09-14T11:16:48Z
U2S1-0190,NOT_DECISIVE,2026-09-14T11:16:49Z
U2S1-0191,NOT_DECISIVE,2026-09-14T11:16:50Z
U2S1-0192,NOT_DECISIVE,2026-09-14T11:16:50Z
U2S1-0193,NOT_DECISIVE,2026-09-14T11:16:51Z
U2S1-0194,NOT_DECISIVE,2026-09-14T11:16:52Z
U2S1-0195,NOT_DECISIVE,2026-09-14T11:16:53Z
U2S1-0196,NOT_DECISIVE,2026-09-14T11:16:54Z
U2S1-0197,NOT_DECISIVE,2026-09-14T11:16:55Z
U2S1-0198,NOT_DECISIVE,2026-09-14T11:16:56Z
U2S1-0199,DECISIVE,2026-09-14T11:16:57Z
U2S1-0200,DECISIVE,2026-09-14T11:16:58Z
U2S1-0201,NOT_DECISIVE,2026-09-14T11:17:00Z
U2S1-0202,NOT_DECISIVE,2026-09-14T11:17:01Z
U2S1-0203,NOT_DECISIVE,2026-09-14T11:17:02Z
U2S1-0204,NOT_DECISIVE,2026-09-14T11:17:03Z
U2S1-0205,NOT_DECISIVE,2026-09-14T11:17:03Z
U2S1-0206,NOT_DECISIVE,2026-09-14T11:17:04Z
U2S1-0207,NOT_DECISIVE,2026-09-14T11:17:05Z
U2S1-0208,NOT_DECISIVE,2026-09-14T11:17:06Z
U2S1-0209,NOT_DECISIVE,2026-09-14T11:17:07Z
U2S1-0210,DECISIVE,2026-09-14T11:17:08Z
U2S1-0211,NOT_DECISIVE,2026-09-14T11:17:13Z
U2S1-0212,NOT_DECISIVE,2026-09-14T11:17:14Z
U2S1-0213,NOT_DECISIVE,2026-09-14T11:17:15Z
U2S1-0214,NOT_DECISIVE,2026-09-14T11:17:16Z
U2S1-0215,NOT_DECISIVE,2026-09-14T11:17:17Z
U2S1-0216,NOT_DECISIVE,2026-09-14T11:17:18Z
U2S1-0217,DECISIVE,2026-09-14T11:17:19Z
U2S1-0218,NOT_DECISIVE,2026-09-14T11:17:20Z
U2S1-0219,NOT_DECISIVE,2026-09-14T11:17:20Z
U2S1-0220,DECISIVE,2026-09-14T11:17:22Z
U2S1-0221,NOT_DECISIVE,2026-09-14T11:17:23Z
U2S1-0222,NOT_DECISIVE,2026-09-14T11:17:23Z
U2S1-0223,NOT_DECISIVE,2026-09-14T11:17:24Z
U2S1-0224,NOT_DECISIVE,2026-09-14T11:17:25Z
U2S1-0225,NOT_DECISIVE,2026-09-14T11:17:26Z
U2S1-0226,NOT_DECISIVE,2026-09-14T11:17:27Z
U2S1-0227,NOT_DECISIVE,2026-09-14T11:17:29Z
U2S1-0228,DECISIVE,2026-09-14T11:17:36Z
U2S1-0229,DECISIVE,2026-09-14T11:17:37Z
U2S1-0230,DECISIVE,2026-09-14T11:17:38Z
U2S1-0231,NOT_DECISIVE,2026-09-14T11:17:40Z
U2S1-0232,NOT_DECISIVE,2026-09-14T11:17:41Z
U2S1-0233,DECISIVE,2026-09-14T11:17:46Z
U2S1-0234,DECISIVE,2026-09-14T11:17:48Z
U2S1-0235,NOT_DECISIVE,2026-09-14T11:17:49Z
U2S1-0236,DECISIVE,2026-09-14T11:17:50Z
U2S1-0237,DECISIVE,2026-09-14T11:17:52Z
U2S1-0238,NOT_DECISIVE,2026-09-14T11:17:53Z
U2S1-0239,NOT_DECISIVE,2026-09-14T11:17:54Z
U2S1-0240,NOT_DECISIVE,2026-09-14T11:17:55Z
U2S1-0241,NOT_DECISIVE,2026-09-14T11:17:58Z
U2S1-0242,NOT_DECISIVE,2026-09-14T11:17:58Z
U2S1-0243,DECISIVE,2026-09-14T11:18:00Z
U2S1-0244,NOT_DECISIVE,2026-09-14T11:18:02Z
U2S1-0245,NOT_DECISIVE,2026-09-14T11:18:02Z
U2S1-0246,NOT_DECISIVE,2026-09-14T11:18:03Z
U2S1-0247,DECISIVE,2026-09-14T11:18:04Z
U2S1-0248,NOT_DECISIVE,2026-09-14T11:18:05Z
U2S1-0249,NOT_DECISIVE,2026-09-14T11:18:08Z
U2S1-0250,NOT_DECISIVE,2026-09-14T11:18:09Z
U2S1-0251,NOT_DECISIVE,2026-09-14T11:18:11Z
U2S1-0252,NOT_DECISIVE,2026-09-14T11:18:13Z
U2S1-0253,NOT_DECISIVE,2026-09-14T11:18:14Z
U2S1-0254,DECISIVE,2026-09-14T11:18:15Z
U2S1-0255,DECISIVE,2026-09-14T11:18:16Z
U2S1-0256,NOT_DECISIVE,2026-09-14T11:18:18Z
U2S1-0257,NOT_DECISIVE,2026-09-14T11:18:26Z
U2S1-0258,NOT_DECISIVE,2026-09-14T11:18:28Z
U2S1-0259,DECISIVE,2026-09-14T11:18:30Z
U2S1-0260,NOT_DECISIVE,2026-09-14T11:18:31Z
U2S1-0261,NOT_DECISIVE,2026-09-14T11:18:32Z
U2S1-0262,DECISIVE,2026-09-14T11:18:35Z
U2S1-0263,NOT_DECISIVE,2026-09-14T11:18:35Z
U2S1-0264,NOT_DECISIVE,2026-09-14T11:18:36Z
U2S1-0265,NOT_DECISIVE,2026-09-14T11:18:48Z
U2S1-0266,DECISIVE,2026-09-14T11:18:49Z
U2S1-0267,DECISIVE,2026-09-14T11:19:04Z
U2S1-0268,NOT_DECISIVE,2026-09-14T11:19:05Z
U2S1-0269,NOT_DECISIVE,2026-09-14T11:19:05Z
U2S1-0270,NOT_DECISIVE,2026-09-14T11:19:06Z
U2S1-0271,DECISIVE,2026-09-14T11:19:08Z
U2S1-0272,NOT_DECISIVE,2026-09-14T11:19:09Z
U2S1-0273,NOT_DECISIVE,2026-09-14T11:19:38Z
U2S1-0274,NOT_DECISIVE,2026-09-14T11:19:40Z
U2S1-0275,NOT_DECISIVE,2026-09-14T11:19:41Z
U2S1-0276,NOT_DECISIVE,2026-09-14T11:19:41Z
U2S1-0277,NOT_DECISIVE,2026-09-14T11:19:42Z
U2S1-0278,NOT_DECISIVE,2026-09-14T11:19:42Z
U2S1-0279,DECISIVE,2026-09-14T11:19:43Z
U2S1-0280,NOT_DECISIVE,2026-09-14T11:19:44Z
U2S1-0281,NOT_DECISIVE,2026-09-14T11:19:44Z
U2S1-0282,NOT_DECISIVE,2026-09-14T11:19:45Z
U2S1-0283,DECISIVE,2026-09-14T11:19:53Z
U2S1-0284,NOT_DECISIVE,2026-09-14T11:19:54Z
U2S1-0285,NOT_DECISIVE,2026-09-14T11:19:54Z
U2S1-0286,DECISIVE,2026-09-14T11:19:55Z
U2S1-0287,DECISIVE,2026-09-14T11:19:56Z
U2S1-0288,NOT_DECISIVE,2026-09-14T11:19:57Z
U2S1-0289,DECISIVE,2026-09-14T11:19:58Z
U2S1-0290,NOT_DECISIVE,2026-09-14T11:19:58Z
U2S1-0291,DECISIVE,2026-09-14T11:20:00Z
U2S1-0292,DECISIVE,2026-09-14T11:20:02Z
U2S1-0293,NOT_DECISIVE,2026-09-14T11:20:04Z
U2S1-0294,NOT_DECISIVE,2026-09-14T11:20:05Z
U2S1-0295,NOT_DECISIVE,2026-09-14T11:20:06Z
