id,category,evidence_type,apps,channel_invariant,sqlite_mapped,mapped_dbs,cua_required,gui_artifact,instruction_pins_gold,dv_from_answer,identifiable,eligible,exclude_reason,instruction
aggregation-f001,aggregation,aggregation,Dinoco Airlines,False,True,dinoco-airlines.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"How many miles have I actually flown on Dinoco over the past 12 months? Add up the miles from every completed Dinoco flight in that window. Give me a spreadsheet of each trip, and the miles for each one with a final row of the cumulative miles. Also include the upcoming trips and their milage."
aggregation-f002,aggregation,aggregation,HooliMail|HooliCalendar|HooliChat|HooliWork|Gringotts,False,True,mail.sqlite|hoolicalendar.sqlite|vaultbank.sqlite,True,True,False,False,not_applicable,False,not_channel_invariant|cua_required|gui_artifact,"It's early morning today. Give me a morning brief in LibreOffice Writer covering any priority email from this week, what's on my calendar today, anything that came in overnight on HooliChat or HooliWork, and any charges that hit my card since midnight."
aggregation-f003,aggregation,aggregation,SpeedTax,True,True,speedtax.sqlite,False,False,False,True,pending_dummy_probe,True,,Pull up my prior-year tax returns on SpeedTax and tell me my combined federal + state refund across the most recent filed years. I want one number that says 'over the last few years you've gotten back X total.'
aggregation-f004,aggregation,aggregation,Cheskepdia|Gringotts,False,True,cheskepdia.sqlite|vaultbank.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,What did that recent Philadelphia overnight trip cost me all-in? It was a quick one-night hotel stay downtown. Give me the damage from the hotel and any related card charges.
aggregation-f005,aggregation,aggregation,Cheskepdia|Dinoco Airlines|Gringotts,False,True,cheskepdia.sqlite|dinoco-airlines.sqlite|vaultbank.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,Add up what I've already committed to the Barbados trip in a LibreOffice Calc sheet and flag any gap. I know the hotel is booked but I'm not sure if the flight charge actually hit yet.
aggregation-f008,aggregation,aggregation,Gringotts,True,True,vaultbank.sqlite,False,True,False,False,not_applicable,False,gui_artifact,"If I keep going to improv class at the current pace, what's it going to cost me for a whole year? I'm reconsidering. Give me a Line graph chart of the overall cost in LibreOffice Calc."
aggregation-f009,aggregation,aggregation,SprintBoard|HooliWork|HooliCalendar|Files,False,True,hoolicalendar.sqlite,True,False,False,False,not_applicable,False,not_channel_invariant|cua_required,"Build me a standup summary for today covering all the open issues on SprintBoard, what I posted on HooliWork, and what meetings I have including the takeaways from the recent all-hands (notes are saved on my Desktop as meeting_notes_allhands)."
aggregation-f010,aggregation,aggregation,HooliShop|HooliChat|Files|LibreOffice Calc|LibreOffice Writer,False,True,hoolishop.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,"Pull together everything I've spent or committed to the Dundies this year so far into a LibreOffice Calc Spreadsheet. Check my trophy orders, any mentions in the planning group chat, and the categories doc. Write up a report in LibreOffice Writer when you're done."
aggregation-f011,aggregation,aggregation,SprintBoard|HooliWork|LockedIn|HooliMail|Files|LibreOffice Impress,False,True,lockedin.sqlite|mail.sqlite,True,True,False,False,not_applicable,False,not_channel_invariant|cua_required|gui_artifact,"Put together a last-quarter performance review packet I can send to David Wallace. Pull my project progress (closed and open), my chat participation, any LockedIn posts, and relevant sent email threads. Pair it with a quick forward-look using the quarter sales forecast doc in ~/Downloads/ so David sees I'm thinking next quarter too. Make me look good. Build the actual perf-review packet as a LibreOffice Impress 4-slide deck (project progress / chat + LockedIn presence / forward-look / ask) — David likes visuals."
aggregation-f018,aggregation,aggregation,SpeedTax|Files|Gringotts,True,True,speedtax.sqlite|vaultbank.sqlite,False,False,False,True,pending_dummy_probe,True,,"Roll up my tax deductions for my accountant. Pull the line items (charitable, home-office days, 1099 income, W-2 gross/withholdings) from my in-progress Tax Year 2025 return in SpeedTax, and cross-check each line against my matching Tax_2025 source docs in ~/Documents (w2_summary.txt, 1099s.txt) to see whether the numbers in the in-progress return reconcile with the source docs. Don't guess the final refund on the in-progress return — that one isn't done yet."
aggregation-f019,aggregation,aggregation,eTaxi,False,True,etaxi.sqlite,False,True,False,False,not_applicable,False,not_channel_invariant|gui_artifact,How much have I actually spent taking eTaxi to the Dunder Mifflin office this year? Just the commute rides. Sum up and report the total cost in a LibreOffice Calc sheet.
aggregation-f020,aggregation,aggregation,Gringotts|BatBucks,False,True,vaultbank.sqlite|batbucks.sqlite,False,False,False,True,not_applicable,False,not_channel_invariant,"My credit card is deep in the hole. Tell me how fast I've been burning through it by giving me a monthly burn rate, then check if my BatBucks cash could cover a paydown."
