lane,task,leg,n_traj,components,golds,frames,screenshots,n_drawn,n_png_ok
claude,counterfactual-f005,G0,61,"gme_avg_cost,gme_shares","42.12,85.0","21,59,60","step_22_20260910@042855538257.png,step_60_20260910@044225136133.png,step_61_20260910@044250973110.png",3,3
flash,aggregation-f020,G1,32,batbucks_cash,420.0,"29,30,31","step_29_20260910@223453387403.png,step_30_20260910@223516344405.png,step_31_20260910@223548186117.png",3,3
flash,counterfactual-f005,G1,24,gme_shares,170.0,"20,21,23","step_21_20260911@144109154801.png,step_21_20260911@144113405880.png,step_23_20260911@144159463903.png",3,3
flash,counterfactual-f010,G0,18,liquid_cash,66493.59,"15,16,17","step_15_20260911@173918559174.png,step_16_20260911@173932088603.png,step_17_20260911@173950882821.png",3,3
flash,counterfactual-f013,G0,57,"batbucks_dividends,gringotts_savings","64.88,16413.28","48,49,56","step_47_20260908@152341138523.png,step_48_20260908@152400345681.png,step_55_20260908@152859249633.png",3,3
flash,counterfactual-f013,G1,68,gringotts_savings,3282.656,"65,66,67","step_65_20260908@161847976077.png,step_66_20260908@161904605579.png,step_67_20260908@161928787981.png",3,3
flash,retrieval-f009,G1,41,nyc_flight_confirmation,DN-87856,"31,32,40","step_31_20260911@105547556617.png,step_32_20260911@105608077266.png,step_40_20260911@105845632747.png",3,3
flash,retrieval-f010,G1,23,host_name,Sandals Resorts Concierge,"12,13,22","step_13_20260908@130514081703.png,step_13_20260908@130518754743.png,step_22_20260908@130700429579.png",3,3
gpt,aggregation-f020,G0,55,batbucks_cash,420.0,"52,53,54","step_48_20260907@211535393518.png,step_49_20260907@211548754953.png,step_50_20260907@211604628474.png",3,3
gpt,retrieval-f009,G0,3,nyc_hotel_confirmation,GH-29481,"0,1,2","step_1_20260908@094640549303.png,step_2_20260908@094650367873.png,step_3_20260908@094713125281.png",3,3
gpt,retrieval-f009,G1,6,nyc_flight_confirmation,DN-87856,"3,4,5","step_1_20260908@095936204388.png,step_2_20260908@095945159491.png,step_3_20260908@095953159575.png",3,3
