model,phase,task,condition,dir,n_steps,last_action,done,score_raw,exec_failure,result_txt
Claude,phase_a_locked,retrieval-f001,base,results/stage4-retrieval-f001/base,6,DONE,True,100,,1.0
Claude,phase_a_locked,retrieval-f001,cf,results/stage4-retrieval-f001/cf,5,DONE,True,100,,1.0
Claude,phase_a_locked,aggregation-f003,base,results/stage4-aggregation-f003/base,14,DONE,True,80,,1.0
Claude,phase_a_locked,aggregation-f003,cf,results/stage4-aggregation-f003/cf,17,DONE,True,80,,1.0
Claude,phase_a_locked,preference_inference-f018,base,results/stage4-preference_inference-f018/base,24,DONE,True,100,,1.0
Claude,phase_a_locked,preference_inference-f018,cf,results/stage4-preference_inference-f018/cf,6,DONE,True,100,,1.0
Claude,phase_a_locked,counterfactual-f004,base,results/stage4-counterfactual-f004/base,80,"pyautogui.click(660, 618)",False,0,"NOT_DONE:pyautogui.click(660, 618)",1.0
Claude,phase_a_locked,counterfactual-f004,cf,results/stage4-counterfactual-f004/cf,11,DONE,True,87,,1.0
GPT,phase_a_locked,retrieval-f001,base,results/stage4-openai-retrieval-f001/base,13,DONE,True,100,,1.0
GPT,phase_a_locked,retrieval-f001,cf,results/stage4-openai-retrieval-f001/cf,9,DONE,True,100,,1.0
GPT,phase_a_locked,aggregation-f003,base,results/stage4-openai-aggregation-f003/base,28,DONE,True,50,,1.0
GPT,phase_a_locked,aggregation-f003,cf,results/stage4-openai-aggregation-f003/cf,21,DONE,True,50,,1.0
GPT,phase_a_locked,preference_inference-f018,base,results/stage4-openai-preference_inference-f018/base,19,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL,1.0
GPT,phase_a_locked,preference_inference-f018,cf,results/stage4-openai-preference_inference-f018/cf,16,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL,1.0
GPT,phase_a_locked,counterfactual-f004,base,results/stage4-openai-counterfactual-f004/base,65,DONE,True,87,,1.0
GPT,phase_a_locked,counterfactual-f004,cf,results/stage4-openai-counterfactual-f004/cf,40,DONE,True,87,,1.0
Qwen3.5-35B-A3B,phase_a_locked,retrieval-f001,base,results/stage4-qwen35a3b-retrieval-f001/base,7,DONE,True,100,,1.0
Qwen3.5-35B-A3B,phase_a_locked,retrieval-f001,cf,results/stage4-qwen35a3b-retrieval-f001/cf,7,DONE,True,100,,1.0
Qwen3.5-35B-A3B,phase_a_locked,aggregation-f003,base,results/stage4-qwen35a3b-aggregation-f003/base,14,DONE,True,75,,1.0
Qwen3.5-35B-A3B,phase_a_locked,aggregation-f003,cf,results/stage4-qwen35a3b-aggregation-f003/cf,26,FAIL,False,0,NOT_DONE:FAIL,1.0
Qwen3.5-35B-A3B,phase_a_locked,preference_inference-f018,base,results/stage4-qwen35a3b-preference_inference-f018/base,14,DONE,True,100,,1.0
Qwen3.5-35B-A3B,phase_a_locked,preference_inference-f018,cf,results/stage4-qwen35a3b-preference_inference-f018/cf,29,PREDICT_CRASH,False,21,NOT_DONE:PREDICT_CRASH,1.0
Qwen3.5-35B-A3B,phase_a_locked,counterfactual-f004,base,results/stage4-qwen35a3b-counterfactual-f004/base,85,WAIT,False,0,NOT_DONE:WAIT,1.0
Qwen3.5-35B-A3B,phase_a_locked,counterfactual-f004,cf,results/stage4-qwen35a3b-counterfactual-f004/cf,91,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL,1.0
Qwen3.5-9B,phase_a_locked,retrieval-f001,base,results/stage4-qwen359b-retrieval-f001/base,4,DONE,True,80,,1.0
Qwen3.5-9B,phase_a_locked,retrieval-f001,cf,results/stage4-qwen359b-retrieval-f001/cf,4,DONE,True,80,,1.0
Qwen3.5-9B,phase_a_locked,aggregation-f003,base,results/stage4-qwen359b-aggregation-f003/base,22,DONE,True,50,,1.0
Qwen3.5-9B,phase_a_locked,aggregation-f003,cf,results/stage4-qwen359b-aggregation-f003/cf,16,DONE,True,80,,1.0
Qwen3.8-Flash,phase_a_locked,retrieval-f001,base,results/stage4-qwen38flash-retrieval-f001/base,6,DONE,True,100,,1.0
Qwen3.8-Flash,phase_a_locked,retrieval-f001,cf,results/stage4-qwen38flash-retrieval-f001/cf,8,DONE,True,100,,1.0
Qwen3.8-Flash,phase_a_locked,aggregation-f003,base,results/stage4-qwen38flash-aggregation-f003/base,17,DONE,True,80,,1.0
Qwen3.8-Flash,phase_a_locked,aggregation-f003,cf,results/stage4-qwen38flash-aggregation-f003/cf,22,DONE,True,100,,1.0
Claude,phase_b,retrieval-f003,base,results/phaseb-claude-retrieval-f003/base,33,DONE,True,65,,1.0
Claude,phase_b,retrieval-f003,cf,results/phaseb-claude-retrieval-f003/cf,48,DONE,True,65,,1.0
Claude,phase_b,retrieval-f016,base,results/phaseb-claude-retrieval-f016/base,9,DONE,True,100,,1.0
Claude,phase_b,retrieval-f016,cf,results/phaseb-claude-retrieval-f016/cf,9,DONE,True,100,,1.0
Claude,phase_b,retrieval-f029,base,results/phaseb-claude-retrieval-f029/base,26,DONE,True,100,,1.0
Claude,phase_b,retrieval-f029,cf,results/phaseb-claude-retrieval-f029/cf,26,DONE,True,100,,1.0
Claude,phase_b,retrieval-f030,base,results/phaseb-claude-retrieval-f030/base,83,DONE,True,100,,1.0
Claude,phase_b,retrieval-f030,cf,results/phaseb-claude-retrieval-f030/cf,60,DONE,True,100,,1.0
Claude,phase_b,aggregation-f018,base,results/phaseb-claude-aggregation-f018/base,15,DONE,True,100,,1.0
Claude,phase_b,aggregation-f018,cf,results/phaseb-claude-aggregation-f018/cf,58,DONE,True,100,,1.0
Claude,phase_b,preference_inference-f004,base,results/phaseb-claude-preference_inference-f004/base,49,DONE,True,100,,1.0
Claude,phase_b,preference_inference-f004,cf,results/phaseb-claude-preference_inference-f004/cf,7,DONE,True,79,,1.0
GPT,phase_b,retrieval-f003,base,results/phaseb-openai-retrieval-f003/base,34,DONE,True,100,,1.0
GPT,phase_b,retrieval-f003,cf,results/phaseb-openai-retrieval-f003/cf,63,DONE,True,100,,1.0
GPT,phase_b,retrieval-f016,base,results/phaseb-openai-retrieval-f016/base,14,DONE,True,100,,1.0
GPT,phase_b,retrieval-f016,cf,results/phaseb-openai-retrieval-f016/cf,20,DONE,True,85,,1.0
GPT,phase_b,retrieval-f029,base,results/phaseb-openai-retrieval-f029/base,41,DONE,True,33,,1.0
GPT,phase_b,retrieval-f029,cf,results/phaseb-openai-retrieval-f029/cf,56,DONE,True,100,,1.0
GPT,phase_b,retrieval-f030,base,results/phaseb-openai-retrieval-f030/base,55,DONE,True,53,,1.0
GPT,phase_b,retrieval-f030,cf,results/phaseb-openai-retrieval-f030/cf,35,DONE,True,100,,1.0
GPT,phase_b,aggregation-f018,base,results/phaseb-openai-aggregation-f018/base,31,DONE,True,100,,1.0
GPT,phase_b,aggregation-f018,cf,results/phaseb-openai-aggregation-f018/cf,71,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
GPT,phase_b,preference_inference-f004,base,results/phaseb-openai-preference_inference-f004/base,32,DONE,True,100,,1.0
GPT,phase_b,preference_inference-f004,cf,results/phaseb-openai-preference_inference-f004/cf,37,DONE,True,58,,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f003,base,results/phaseb-qwen35a3b-retrieval-f003/base,80,"pyautogui.click(88, 93)",False,65,"NOT_DONE:pyautogui.click(88, 93)",1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f003,cf,results/phaseb-qwen35a3b-retrieval-f003/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f016,base,results/phaseb-qwen35a3b-retrieval-f016/base,10,DONE,True,100,,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f016,cf,results/phaseb-qwen35a3b-retrieval-f016/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f029,base,results/phaseb-qwen35a3b-retrieval-f029/base,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f029,cf,results/phaseb-qwen35a3b-retrieval-f029/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f030,base,results/phaseb-qwen35a3b-retrieval-f030/base,59,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,retrieval-f030,cf,results/phaseb-qwen35a3b-retrieval-f030/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,aggregation-f018,base,results/phaseb-qwen35a3b-aggregation-f018/base,80,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,aggregation-f018,cf,results/phaseb-qwen35a3b-aggregation-f018/cf,22,FAIL,False,0,NOT_DONE:FAIL,1.0
Qwen3.5-35B-A3B,phase_b,preference_inference-f004,base,results/phaseb-qwen35a3b-preference_inference-f004/base,14,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-35B-A3B,phase_b,preference_inference-f004,cf,results/phaseb-qwen35a3b-preference_inference-f004/cf,93,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML,1.0
Qwen3.5-9B,phase_b,retrieval-f003,base,results/phaseb-qwen359b-retrieval-f003/base,151,"pyautogui.scroll(-3, x=984, y=636)",False,65,"NOT_DONE:pyautogui.scroll(-3, x=984, y=636)",1.0
Qwen3.5-9B,phase_b,retrieval-f003,cf,results/phaseb-qwen359b-retrieval-f003/cf,58,DONE,True,65,,1.0
Qwen3.5-9B,phase_b,retrieval-f016,base,results/phaseb-qwen359b-retrieval-f016/base,14,DONE,True,100,,1.0
Qwen3.5-9B,phase_b,retrieval-f016,cf,results/phaseb-qwen359b-retrieval-f016/cf,9,DONE,True,100,,1.0
