task_id,group,verdict,gold_moved,fails,returncode,verdict_detail,guest_json,error
aggregation-f004,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/aggregation-f004/aggregation-f004.guest.json,
aggregation-f020,1,REJECT_held_leak,True,extra probes moved but must not,1,extra probes moved but must not,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/aggregation-f020/aggregation-f020.guest.json,
aggregation-f036,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/aggregation-f036/aggregation-f036.guest.json,
aggregation-f040,1,technical_failure,,restore_failed,1,restore_failed,,"RuntimeError('restore did not bring back loyalty table: ""rm: cannot remove \'/data/worlds/scranton-office\': Directory not empty""')"
contradiction-f003,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f003/contradiction-f003.guest.json,
contradiction-f004,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f004/contradiction-f004.guest.json,
contradiction-f006,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f006/contradiction-f006.guest.json,
contradiction-f011,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f011/contradiction-f011.guest.json,
contradiction-f017,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f017/contradiction-f017.guest.json,
contradiction-f022,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f022/contradiction-f022.guest.json,
counterfactual-f002,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/counterfactual-f002/counterfactual-f002.guest.json,
counterfactual-f003,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/counterfactual-f003/counterfactual-f003.guest.json,
counterfactual-f005,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/counterfactual-f005/counterfactual-f005.guest.json,
counterfactual-f010,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/counterfactual-f010/counterfactual-f010.guest.json,
counterfactual-f013,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/counterfactual-f013/counterfactual-f013.guest.json,
retrieval-f002,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/retrieval-f002/retrieval-f002.guest.json,
retrieval-f005,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/retrieval-f005/retrieval-f005.guest.json,
retrieval-f017,1,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/retrieval-f017/retrieval-f017.guest.json,
aggregation-f040-I2,2,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/aggregation-f040-I2/aggregation-f040-I2.guest.json,
contradiction-f006-I2,2,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f006-I2/contradiction-f006-I2.guest.json,
contradiction-f011-I2,2,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/contradiction-f011-I2/contradiction-f011-I2.guest.json,
counterfactual-f002-I2,2,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/counterfactual-f002-I2/counterfactual-f002-I2.guest.json,
retrieval-f017-I2,2,PASS,True,,0,,/mnt/data2/Vinh/agent/results/paper2_tier1_probe/retrieval-f017-I2/retrieval-f017-I2.guest.json,
