model,tier,phase,task,condition,dir,n_steps,last_action,done,score_raw,exec_failure
Claude,primary,phase_a_locked,retrieval-f001,base,results/stage4-retrieval-f001/base,6,DONE,True,100,
Claude,primary,phase_a_locked,retrieval-f001,cf,results/stage4-retrieval-f001/cf,5,DONE,True,100,
Claude,primary,phase_a_locked,aggregation-f003,base,results/stage4-aggregation-f003/base,14,DONE,True,80,
Claude,primary,phase_a_locked,aggregation-f003,cf,results/stage4-aggregation-f003/cf,17,DONE,True,80,
Claude,primary,phase_a_locked,preference_inference-f018,base,results/stage4-preference_inference-f018/base,24,DONE,True,100,
Claude,primary,phase_a_locked,preference_inference-f018,cf,results/stage4-preference_inference-f018/cf,6,DONE,True,100,
Claude,primary,phase_a_locked,counterfactual-f004,base,results/stage4-counterfactual-f004/base,80,"pyautogui.click(660, 618)",False,0,"NOT_DONE:pyautogui.click(660, 618)"
Claude,primary,phase_a_locked,counterfactual-f004,cf,results/stage4-counterfactual-f004/cf,11,DONE,True,87,
GPT,primary,phase_a_locked,retrieval-f001,base,results/stage4-openai-retrieval-f001/base,13,DONE,True,100,
GPT,primary,phase_a_locked,retrieval-f001,cf,results/stage4-openai-retrieval-f001/cf,9,DONE,True,100,
GPT,primary,phase_a_locked,aggregation-f003,base,results/stage4-openai-aggregation-f003/base,28,DONE,True,50,
GPT,primary,phase_a_locked,aggregation-f003,cf,results/stage4-openai-aggregation-f003/cf,21,DONE,True,50,
GPT,primary,phase_a_locked,preference_inference-f018,base,results/stage4-openai-preference_inference-f018/base,19,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL
GPT,primary,phase_a_locked,preference_inference-f018,cf,results/stage4-openai-preference_inference-f018/cf,16,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL
GPT,primary,phase_a_locked,counterfactual-f004,base,results/stage4-openai-counterfactual-f004/base,65,DONE,True,87,
GPT,primary,phase_a_locked,counterfactual-f004,cf,results/stage4-openai-counterfactual-f004/cf,40,DONE,True,87,
Qwen3.5-35B-A3B,primary,phase_a_locked,retrieval-f001,base,results/stage4-qwen35a3b-retrieval-f001/base,7,DONE,True,100,
Qwen3.5-35B-A3B,primary,phase_a_locked,retrieval-f001,cf,results/stage4-qwen35a3b-retrieval-f001/cf,7,DONE,True,100,
Qwen3.5-35B-A3B,primary,phase_a_locked,aggregation-f003,base,results/stage4-qwen35a3b-aggregation-f003/base,14,DONE,True,75,
Qwen3.5-35B-A3B,primary,phase_a_locked,aggregation-f003,cf,results/stage4-qwen35a3b-aggregation-f003/cf,26,FAIL,False,0,NOT_DONE:FAIL
Qwen3.5-35B-A3B,primary,phase_a_locked,preference_inference-f018,base,results/stage4-qwen35a3b-preference_inference-f018/base,14,DONE,True,100,
Qwen3.5-35B-A3B,primary,phase_a_locked,preference_inference-f018,cf,results/stage4-qwen35a3b-preference_inference-f018/cf,29,PREDICT_CRASH,False,21,NOT_DONE:PREDICT_CRASH
Qwen3.5-35B-A3B,primary,phase_a_locked,counterfactual-f004,base,results/stage4-qwen35a3b-counterfactual-f004/base,85,WAIT,False,0,NOT_DONE:WAIT
Qwen3.5-35B-A3B,primary,phase_a_locked,counterfactual-f004,cf,results/stage4-qwen35a3b-counterfactual-f004/cf,91,TOOL_CALL,False,0,NOT_DONE:TOOL_CALL
Qwen3.5-9B,size_ablation,phase_a_locked,retrieval-f001,base,results/stage4-qwen359b-retrieval-f001/base,4,DONE,True,80,
Qwen3.5-9B,size_ablation,phase_a_locked,retrieval-f001,cf,results/stage4-qwen359b-retrieval-f001/cf,4,DONE,True,80,
Qwen3.5-9B,size_ablation,phase_a_locked,aggregation-f003,base,results/stage4-qwen359b-aggregation-f003/base,22,DONE,True,50,
Qwen3.5-9B,size_ablation,phase_a_locked,aggregation-f003,cf,results/stage4-qwen359b-aggregation-f003/cf,16,DONE,True,80,
Qwen3.8-Flash,exploratory,phase_a_locked,retrieval-f001,base,results/stage4-qwen38flash-retrieval-f001/base,6,DONE,True,100,
Qwen3.8-Flash,exploratory,phase_a_locked,retrieval-f001,cf,results/stage4-qwen38flash-retrieval-f001/cf,8,DONE,True,100,
Qwen3.8-Flash,exploratory,phase_a_locked,aggregation-f003,base,results/stage4-qwen38flash-aggregation-f003/base,17,DONE,True,80,
Qwen3.8-Flash,exploratory,phase_a_locked,aggregation-f003,cf,results/stage4-qwen38flash-aggregation-f003/cf,22,DONE,True,100,
Claude,primary,phase_b,retrieval-f003,base,results/phaseb-claude-retrieval-f003/base,33,DONE,True,65,
Claude,primary,phase_b,retrieval-f003,cf,results/phaseb-claude-retrieval-f003/cf,48,DONE,True,65,
Claude,primary,phase_b,retrieval-f016,base,results/phaseb-claude-retrieval-f016/base,9,DONE,True,100,
Claude,primary,phase_b,retrieval-f016,cf,results/phaseb-claude-retrieval-f016/cf,9,DONE,True,100,
Claude,primary,phase_b,retrieval-f029,base,results/phaseb-claude-retrieval-f029/base,26,DONE,True,100,
Claude,primary,phase_b,retrieval-f029,cf,results/phaseb-claude-retrieval-f029/cf,26,DONE,True,100,
Claude,primary,phase_b,retrieval-f030,base,results/phaseb-claude-retrieval-f030/base,83,DONE,True,100,
Claude,primary,phase_b,retrieval-f030,cf,results/phaseb-claude-retrieval-f030/cf,60,DONE,True,100,
Claude,primary,phase_b,aggregation-f018,base,results/phaseb-claude-aggregation-f018/base,15,DONE,True,100,
Claude,primary,phase_b,aggregation-f018,cf,results/phaseb-claude-aggregation-f018/cf,58,DONE,True,100,
Claude,primary,phase_b,preference_inference-f004,base,results/phaseb-claude-preference_inference-f004/base,49,DONE,True,100,
Claude,primary,phase_b,preference_inference-f004,cf,results/phaseb-claude-preference_inference-f004/cf,7,DONE,True,79,
GPT,primary,phase_b,retrieval-f003,base,results/phaseb-openai-retrieval-f003/base,34,DONE,True,100,
GPT,primary,phase_b,retrieval-f003,cf,results/phaseb-openai-retrieval-f003/cf,63,DONE,True,100,
GPT,primary,phase_b,retrieval-f016,base,results/phaseb-openai-retrieval-f016/base,14,DONE,True,100,
GPT,primary,phase_b,retrieval-f016,cf,results/phaseb-openai-retrieval-f016/cf,20,DONE,True,85,
GPT,primary,phase_b,retrieval-f029,base,results/phaseb-openai-retrieval-f029/base,41,DONE,True,33,
GPT,primary,phase_b,retrieval-f029,cf,results/phaseb-openai-retrieval-f029/cf,56,DONE,True,100,
GPT,primary,phase_b,retrieval-f030,base,results/phaseb-openai-retrieval-f030/base,55,DONE,True,53,
GPT,primary,phase_b,retrieval-f030,cf,results/phaseb-openai-retrieval-f030/cf,35,DONE,True,100,
GPT,primary,phase_b,aggregation-f018,base,results/phaseb-openai-aggregation-f018/base,31,DONE,True,100,
GPT,primary,phase_b,aggregation-f018,cf,results/phaseb-openai-aggregation-f018/cf,71,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
GPT,primary,phase_b,preference_inference-f004,base,results/phaseb-openai-preference_inference-f004/base,32,DONE,True,100,
GPT,primary,phase_b,preference_inference-f004,cf,results/phaseb-openai-preference_inference-f004/cf,37,DONE,True,58,
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f003,base,results/phaseb-qwen35a3b-retrieval-f003/base,80,"pyautogui.click(88, 93)",False,65,"NOT_DONE:pyautogui.click(88, 93)"
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f003,cf,results/phaseb-qwen35a3b-retrieval-f003/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f016,base,results/phaseb-qwen35a3b-retrieval-f016/base,10,DONE,True,100,
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f016,cf,results/phaseb-qwen35a3b-retrieval-f016/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f029,base,results/phaseb-qwen35a3b-retrieval-f029/base,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f029,cf,results/phaseb-qwen35a3b-retrieval-f029/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f030,base,results/phaseb-qwen35a3b-retrieval-f030/base,59,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,retrieval-f030,cf,results/phaseb-qwen35a3b-retrieval-f030/cf,2,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,aggregation-f018,base,results/phaseb-qwen35a3b-aggregation-f018/base,80,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,aggregation-f018,cf,results/phaseb-qwen35a3b-aggregation-f018/cf,22,FAIL,False,0,NOT_DONE:FAIL
Qwen3.5-35B-A3B,primary,phase_b,preference_inference-f004,base,results/phaseb-qwen35a3b-preference_inference-f004/base,14,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-35B-A3B,primary,phase_b,preference_inference-f004,cf,results/phaseb-qwen35a3b-preference_inference-f004/cf,93,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-9B,size_ablation,phase_b,retrieval-f003,base,results/phaseb-qwen359b-retrieval-f003/base,151,"pyautogui.scroll(-3, x=984, y=636)",False,65,"NOT_DONE:pyautogui.scroll(-3, x=984, y=636)"
Qwen3.5-9B,size_ablation,phase_b,retrieval-f003,cf,results/phaseb-qwen359b-retrieval-f003/cf,58,DONE,True,65,
Qwen3.5-9B,size_ablation,phase_b,retrieval-f016,base,results/phaseb-qwen359b-retrieval-f016/base,14,DONE,True,100,
Qwen3.5-9B,size_ablation,phase_b,retrieval-f016,cf,results/phaseb-qwen359b-retrieval-f016/cf,9,DONE,True,100,
Qwen3.5-9B,size_ablation,phase_b,retrieval-f029,base,results/phaseb-qwen359b-retrieval-f029/base,80,"import base64, time, pyautogui
_text = base64.b64decode('Y2F0IH4vRG9jdW1lbnRzL1RheF8yMDI1L3cyX3N1bW1hcnkudHh0').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",False,0,"NOT_DONE:import base64, time, pyautogui
_text = base64.b64decode('Y2F0IH4vRG9jdW1lbnRzL1RheF8yMDI1L3cyX3N1bW1hcnkudHh0').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')"
Qwen3.5-9B,size_ablation,phase_b,retrieval-f029,cf,results/phaseb-qwen359b-retrieval-f029/cf,54,PREDICT_CRASH,False,33,NOT_DONE:PREDICT_CRASH
Qwen3.5-9B,size_ablation,phase_b,retrieval-f030,base,results/phaseb-qwen359b-retrieval-f030/base,80,"import base64, time, pyautogui
_text = base64.b64decode('aHR0cDovL2xvY2FsaG9zdDozMDE1').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')",False,0,"NOT_DONE:import base64, time, pyautogui
_text = base64.b64decode('aHR0cDovL2xvY2FsaG9zdDozMDE1').decode('utf-8')
try:
    import pyperclip
    pyperclip.copy(_text)
    time.sleep(0.1)
    pyautogui.hotkey('ctrl', 'v')
    time.sleep(0.1)
except Exception:
    _text = _text.replace('\r\n', '\n').replace('\r', '\n')
    for _line_index, _line in enumerate(_text.split('\n')):
        for _part_index, _part in enumerate(_line.split('\t')):
            if _part:
                pyautogui.typewrite(_part)
            if _part_index < len(_line.split('\t')) - 1:
                pyautogui.press('tab')
        if _line_index < len(_text.split('\n')) - 1:
            pyautogui.press('enter')"
Qwen3.5-9B,size_ablation,phase_b,retrieval-f030,cf,results/phaseb-qwen359b-retrieval-f030/cf,13,FAIL,False,0,NOT_DONE:FAIL
Qwen3.5-9B,size_ablation,phase_b,aggregation-f018,base,results/phaseb-qwen359b-aggregation-f018/base,65,DONE,True,0,
Qwen3.5-9B,size_ablation,phase_b,aggregation-f018,cf,results/phaseb-qwen359b-aggregation-f018/cf,80,"pyautogui.press(""return"")",False,0,"NOT_DONE:pyautogui.press(""return"")"
Qwen3.5-9B,size_ablation,phase_b,preference_inference-f004,base,results/phaseb-qwen359b-preference_inference-f004/base,5,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.5-9B,size_ablation,phase_b,preference_inference-f004,cf,results/phaseb-qwen359b-preference_inference-f004/cf,3,EMPTY_XML,False,0,NOT_DONE:EMPTY_XML
Qwen3.8-Flash,exploratory,phase_b,retrieval-f003,base,results/phaseb-qwen38flash-retrieval-f003/base,81,DONE,True,100,
Qwen3.8-Flash,exploratory,phase_b,retrieval-f003,cf,results/phaseb-qwen38flash-retrieval-f003/cf,81,TOOL_CALL,False,65,NOT_DONE:TOOL_CALL
Qwen3.8-Flash,exploratory,phase_b,retrieval-f016,base,results/phaseb-qwen38flash-retrieval-f016/base,12,EMPTY_XML,False,100,NOT_DONE:EMPTY_XML
