lane,task,ranked,S0,S1,delta_S,STS,Y
gpt,aggregation-f020,True,83,64,-19,0.16666666666666666,0
gpt,aggregation-f037,True,100,75,-25,0.0,0
gpt,contradiction-f004,True,85,85,0,0.0,0
gpt,counterfactual-f005,True,83,100,17,0.0,0
gpt,counterfactual-f010,True,83,87,4,0.0,0
gpt,preference_inference-f014,True,0,52,52,0.0,0
gpt,retrieval-f002,True,75,75,0,0.5,0
gpt,retrieval-f009,True,40,40,0,0.49999999999999994,0
gpt,retrieval-f017,True,75,100,25,0.0,0
flash,contradiction-f006,True,82,82,0,0.0,0
flash,counterfactual-f010,True,100,100,0,0.0,0
flash,counterfactual-f013,True,100,100,0,0.49999999999999994,0
flash,preference_inference-f010,True,100,100,0,0.0,0
flash,preference_inference-f014,True,84,100,16,0.0,0
flash,retrieval-f002,True,100,100,0,0.5,0
flash,retrieval-f009,True,100,100,0,0.3333333333333333,0
flash,retrieval-f010,True,100,100,0,0.5,0
claude,counterfactual-f013,False,100,100,0,0.0,0
