item_id,isolation,ts
U2S1-0001,DECISIVE,2026-09-14T09:33:13Z
U2S1-0002,DECISIVE,2026-09-14T09:33:19Z
U2S1-0003,DECISIVE,2026-09-14T09:33:21Z
U2S1-0004,NOT_DECISIVE,2026-09-14T09:33:23Z
U2S1-0005,NOT_DECISIVE,2026-09-14T09:33:28Z
U2S1-0006,NOT_DECISIVE,2026-09-14T09:33:31Z
U2S1-0007,NOT_DECISIVE,2026-09-14T09:33:37Z
U2S1-0008,DECISIVE,2026-09-14T09:33:47Z
U2S1-0009,NOT_DECISIVE,2026-09-14T09:33:53Z
U2S1-0010,NOT_DECISIVE,2026-09-14T09:33:55Z
U2S1-0011,DECISIVE,2026-09-14T09:34:10Z
U2S1-0012,NOT_DECISIVE,2026-09-14T09:34:12Z
U2S1-0013,NOT_DECISIVE,2026-09-14T09:34:14Z
U2S1-0014,NOT_DECISIVE,2026-09-14T09:34:15Z
U2S1-0015,NOT_DECISIVE,2026-09-14T09:34:18Z
U2S1-0016,UNCLEAR,2026-09-14T09:34:20Z
U2S1-0017,NOT_DECISIVE,2026-09-14T09:34:23Z
U2S1-0018,DECISIVE,2026-09-14T09:34:33Z
U2S1-0019,DECISIVE,2026-09-14T09:34:35Z
U2S1-0020,NOT_DECISIVE,2026-09-14T09:34:37Z
U2S1-0021,NOT_DECISIVE,2026-09-14T09:34:39Z
U2S1-0022,NOT_DECISIVE,2026-09-14T09:34:40Z
U2S1-0023,NOT_DECISIVE,2026-09-14T09:34:42Z
U2S1-0024,NOT_DECISIVE,2026-09-14T09:34:46Z
U2S1-0025,DECISIVE,2026-09-14T09:34:48Z
U2S1-0026,DECISIVE,2026-09-14T09:34:50Z
U2S1-0027,DECISIVE,2026-09-14T09:34:55Z
U2S1-0028,DECISIVE,2026-09-14T09:34:59Z
U2S1-0029,DECISIVE,2026-09-14T09:35:04Z
U2S1-0030,NOT_DECISIVE,2026-09-14T09:35:06Z
U2S1-0031,DECISIVE,2026-09-14T09:35:09Z
U2S1-0032,NOT_DECISIVE,2026-09-14T09:35:14Z
U2S1-0033,NOT_DECISIVE,2026-09-14T09:35:18Z
U2S1-0034,DECISIVE,2026-09-14T09:35:42Z
U2S1-0035,DECISIVE,2026-09-14T09:35:44Z
U2S1-0036,DECISIVE,2026-09-14T09:35:54Z
U2S1-0037,DECISIVE,2026-09-14T09:35:55Z
U2S1-0038,DECISIVE,2026-09-14T09:35:57Z
U2S1-0039,DECISIVE,2026-09-14T09:35:59Z
U2S1-0040,DECISIVE,2026-09-14T09:36:03Z
U2S1-0041,NOT_DECISIVE,2026-09-14T09:36:05Z
U2S1-0042,DECISIVE,2026-09-14T09:36:09Z
U2S1-0043,DECISIVE,2026-09-14T09:36:11Z
U2S1-0044,NOT_DECISIVE,2026-09-14T09:36:13Z
