model,task,condition,score,per_rubric_max
Claude,retrieval-f003,base,65,"[1, 1, 0]"
Claude,retrieval-f003,cf,65,"[1, 1, 0]"
GPT,aggregation-f003,base,50,"[1, 1, 0, 0]"
GPT,aggregation-f003,cf,50,"[1, 1, 0, 0]"
Qwen3.5-9B,aggregation-f003,base,50,"[1, 1, 0, 0]"
Qwen3.5-9B,aggregation-f003,cf,80,"[1, 1, 1, 0]"
Qwen3.8-Flash,aggregation-f003,base,80,"[1, 1, 1, 0]"
Qwen3.8-Flash,aggregation-f003,cf,100,"[1, 1, 1, 1]"
GPT,retrieval-f029,base,33,"[1, 0, 0]"
GPT,retrieval-f029,cf,100,"[1, 1, 1]"
Qwen3.5-9B,retrieval-f016,base,100,"[1, 1, 1, 1]"
Qwen3.5-9B,retrieval-f016,cf,100,"[1, 1, 1, 1]"
Claude,preference_inference-f018,base,100,"[1, 1, 1, 1, 1, 1]"
Claude,preference_inference-f018,cf,100,"[1, 1, 1, 1, 1, 1]"
