item_id,task,png,isolation,notes
U2S1-0001,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0001.png,,
U2S1-0003,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0003.png,,
U2S1-0012,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0012.png,,
U2S1-0019,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0019.png,,
U2S1-0025,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0025.png,,
U2S1-0027,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0027.png,,
U2S1-0028,Find an energetic hairless dog with medium barking.,png/U2S1-0028.png,,
U2S1-0030,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0030.png,,
U2S1-0034,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0034.png,,
U2S1-0038,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0038.png,,
U2S1-0039,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0039.png,,
U2S1-0041,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0041.png,,
U2S1-0043,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0043.png,,
U2S1-0049,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0049.png,,
U2S1-0077,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0077.png,,
U2S1-0081,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0081.png,,
U2S1-0084,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0084.png,,
U2S1-0086,Find an energetic hairless dog with medium barking.,png/U2S1-0086.png,,
U2S1-0091,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0091.png,,
U2S1-0108,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0108.png,,
U2S1-0110,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0110.png,,
U2S1-0120,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0120.png,,
U2S1-0121,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0121.png,,
U2S1-0135,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0135.png,,
U2S1-0137,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0137.png,,
U2S1-0139,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0139.png,,
U2S1-0141,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0141.png,,
U2S1-0142,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0142.png,,
U2S1-0148,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0148.png,,
U2S1-0150,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0150.png,,
U2S1-0154,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0154.png,,
U2S1-0162,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0162.png,,
U2S1-0164,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0164.png,,
U2S1-0168,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0168.png,,
U2S1-0172,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0172.png,,
U2S1-0173,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0173.png,,
U2S1-0177,"Search for papers related to reinforcement learning under the topics of computer science and mathematics on arxiv, with recent submission dates between September 2024 and January 2025.",png/U2S1-0177.png,,
U2S1-0178,"Search for rentals in Corning, CA with a maximum price of $1500.",png/U2S1-0178.png,,
U2S1-0181,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0181.png,,
U2S1-0183,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0183.png,,
U2S1-0184,Tell me information about what identification I need to bring on my trip on Amtrak.,png/U2S1-0184.png,,
U2S1-0188,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym.",png/U2S1-0188.png,,
