item_id,isolation,ts
U2S1-0001,DECISIVE,2026-09-14T11:37:36Z
U2S1-0002,DECISIVE,2026-09-14T11:37:37Z
U2S1-0003,DECISIVE,2026-09-14T11:37:38Z
U2S1-0004,NOT_DECISIVE,2026-09-14T11:37:39Z
U2S1-0005,NOT_DECISIVE,2026-09-14T11:37:40Z
U2S1-0006,NOT_DECISIVE,2026-09-14T11:37:41Z
U2S1-0007,NOT_DECISIVE,2026-09-14T11:37:41Z
U2S1-0008,DECISIVE,2026-09-14T11:37:46Z
U2S1-0009,NOT_DECISIVE,2026-09-14T11:37:47Z
U2S1-0010,NOT_DECISIVE,2026-09-14T11:37:47Z
U2S1-0011,DECISIVE,2026-09-14T11:37:49Z
U2S1-0012,NOT_DECISIVE,2026-09-14T11:37:49Z
U2S1-0013,NOT_DECISIVE,2026-09-14T11:37:50Z
U2S1-0014,NOT_DECISIVE,2026-09-14T11:37:50Z
U2S1-0015,NOT_DECISIVE,2026-09-14T11:37:50Z
U2S1-0016,NOT_DECISIVE,2026-09-14T11:37:51Z
U2S1-0017,NOT_DECISIVE,2026-09-14T11:37:55Z
U2S1-0018,DECISIVE,2026-09-14T11:37:58Z
U2S1-0019,DECISIVE,2026-09-14T11:37:59Z
U2S1-0020,NOT_DECISIVE,2026-09-14T11:38:00Z
U2S1-0021,NOT_DECISIVE,2026-09-14T11:38:01Z
U2S1-0022,NOT_DECISIVE,2026-09-14T11:38:06Z
U2S1-0023,NOT_DECISIVE,2026-09-14T11:38:07Z
U2S1-0024,NOT_DECISIVE,2026-09-14T11:38:08Z
U2S1-0025,NOT_DECISIVE,2026-09-14T11:38:09Z
U2S1-0026,DECISIVE,2026-09-14T11:38:12Z
U2S1-0027,DECISIVE,2026-09-14T11:38:14Z
U2S1-0028,DECISIVE,2026-09-14T11:38:15Z
U2S1-0029,NOT_DECISIVE,2026-09-14T11:38:21Z
U2S1-0030,NOT_DECISIVE,2026-09-14T11:38:21Z
U2S1-0031,DECISIVE,2026-09-14T11:38:22Z
U2S1-0032,NOT_DECISIVE,2026-09-14T11:38:23Z
U2S1-0033,NOT_DECISIVE,2026-09-14T11:38:24Z
U2S1-0034,DECISIVE,2026-09-14T11:38:25Z
U2S1-0035,DECISIVE,2026-09-14T11:38:28Z
U2S1-0036,NOT_DECISIVE,2026-09-14T11:38:29Z
U2S1-0037,DECISIVE,2026-09-14T11:38:30Z
U2S1-0038,DECISIVE,2026-09-14T11:38:31Z
U2S1-0039,DECISIVE,2026-09-14T11:38:34Z
U2S1-0040,DECISIVE,2026-09-14T11:38:36Z
U2S1-0041,NOT_DECISIVE,2026-09-14T11:38:37Z
U2S1-0042,DECISIVE,2026-09-14T11:38:38Z
U2S1-0043,DECISIVE,2026-09-14T11:38:39Z
U2S1-0044,NOT_DECISIVE,2026-09-14T11:38:42Z
U2S1-0045,DECISIVE,2026-09-14T11:38:43Z
U2S1-0046,NOT_DECISIVE,2026-09-14T11:38:45Z
U2S1-0047,DECISIVE,2026-09-14T11:38:46Z
U2S1-0048,NOT_DECISIVE,2026-09-14T11:38:47Z
U2S1-0049,NOT_DECISIVE,2026-09-14T11:38:48Z
U2S1-0050,NOT_DECISIVE,2026-09-14T11:38:48Z
U2S1-0051,DECISIVE,2026-09-14T11:38:50Z
U2S1-0052,NOT_DECISIVE,2026-09-14T11:38:51Z
U2S1-0053,NOT_DECISIVE,2026-09-14T11:38:51Z
U2S1-0054,NOT_DECISIVE,2026-09-14T11:38:52Z
U2S1-0055,NOT_DECISIVE,2026-09-14T11:38:52Z
U2S1-0056,NOT_DECISIVE,2026-09-14T11:38:55Z
U2S1-0057,NOT_DECISIVE,2026-09-14T11:38:56Z
U2S1-0058,NOT_DECISIVE,2026-09-14T11:38:56Z
U2S1-0059,NOT_DECISIVE,2026-09-14T11:38:57Z
U2S1-0060,NOT_DECISIVE,2026-09-14T11:38:57Z
U2S1-0061,DECISIVE,2026-09-14T11:39:00Z
U2S1-0062,NOT_DECISIVE,2026-09-14T11:39:01Z
U2S1-0063,NOT_DECISIVE,2026-09-14T11:39:02Z
U2S1-0064,DECISIVE,2026-09-14T11:39:03Z
U2S1-0065,NOT_DECISIVE,2026-09-14T11:39:03Z
U2S1-0066,NOT_DECISIVE,2026-09-14T11:39:04Z
U2S1-0067,DECISIVE,2026-09-14T11:39:06Z
U2S1-0068,NOT_DECISIVE,2026-09-14T11:39:07Z
U2S1-0069,NOT_DECISIVE,2026-09-14T11:39:14Z
U2S1-0070,DECISIVE,2026-09-14T11:39:18Z
U2S1-0071,NOT_DECISIVE,2026-09-14T11:39:19Z
U2S1-0072,NOT_DECISIVE,2026-09-14T11:39:20Z
U2S1-0073,NOT_DECISIVE,2026-09-14T11:39:21Z
U2S1-0074,NOT_DECISIVE,2026-09-14T11:39:21Z
U2S1-0075,NOT_DECISIVE,2026-09-14T11:39:22Z
U2S1-0076,NOT_DECISIVE,2026-09-14T11:39:22Z
U2S1-0077,DECISIVE,2026-09-14T11:39:30Z
U2S1-0078,NOT_DECISIVE,2026-09-14T11:39:33Z
U2S1-0079,NOT_DECISIVE,2026-09-14T11:39:34Z
U2S1-0080,NOT_DECISIVE,2026-09-14T11:39:34Z
U2S1-0081,DECISIVE,2026-09-14T11:41:08Z
U2S1-0082,NOT_DECISIVE,2026-09-14T11:41:10Z
U2S1-0083,NOT_DECISIVE,2026-09-14T11:41:12Z
U2S1-0084,DECISIVE,2026-09-14T11:41:13Z
U2S1-0085,NOT_DECISIVE,2026-09-14T11:41:15Z
U2S1-0086,DECISIVE,2026-09-14T11:41:16Z
U2S1-0087,NOT_DECISIVE,2026-09-14T11:41:16Z
U2S1-0088,NOT_DECISIVE,2026-09-14T11:41:20Z
U2S1-0089,NOT_DECISIVE,2026-09-14T11:41:21Z
U2S1-0090,NOT_DECISIVE,2026-09-14T11:41:22Z
U2S1-0091,DECISIVE,2026-09-14T11:41:26Z
U2S1-0092,DECISIVE,2026-09-14T11:41:28Z
U2S1-0093,NOT_DECISIVE,2026-09-14T11:41:29Z
U2S1-0094,NOT_DECISIVE,2026-09-14T11:41:32Z
U2S1-0095,DECISIVE,2026-09-14T11:41:33Z
U2S1-0096,NOT_DECISIVE,2026-09-14T11:41:34Z
U2S1-0097,NOT_DECISIVE,2026-09-14T11:41:34Z
U2S1-0098,NOT_DECISIVE,2026-09-14T11:41:35Z
U2S1-0099,NOT_DECISIVE,2026-09-14T11:41:35Z
U2S1-0100,NOT_DECISIVE,2026-09-14T11:41:36Z
U2S1-0101,NOT_DECISIVE,2026-09-14T11:41:37Z
U2S1-0102,NOT_DECISIVE,2026-09-14T11:41:38Z
U2S1-0103,DECISIVE,2026-09-14T11:41:39Z
U2S1-0104,DECISIVE,2026-09-14T11:41:40Z
U2S1-0105,NOT_DECISIVE,2026-09-14T11:41:41Z
U2S1-0106,DECISIVE,2026-09-14T11:41:43Z
U2S1-0107,DECISIVE,2026-09-14T11:41:43Z
U2S1-0108,DECISIVE,2026-09-14T11:41:44Z
U2S1-0109,NOT_DECISIVE,2026-09-14T11:41:45Z
U2S1-0110,DECISIVE,2026-09-14T11:41:45Z
U2S1-0111,NOT_DECISIVE,2026-09-14T11:41:46Z
U2S1-0112,NOT_DECISIVE,2026-09-14T11:41:47Z
U2S1-0113,NOT_DECISIVE,2026-09-14T11:41:47Z
U2S1-0114,NOT_DECISIVE,2026-09-14T11:41:59Z
U2S1-0115,NOT_DECISIVE,2026-09-14T11:42:00Z
