variant_id,task_id,verdict,in_analysis,source
aggregation-f004,aggregation-f004,PASS,True,tier1
aggregation-f020,aggregation-f020,PASS,True,tier1
aggregation-f036,aggregation-f036,PASS,True,tier1
aggregation-f037,aggregation-f037,PASS,True,tier3
aggregation-f040,aggregation-f040,PASS,True,tier1
aggregation-f040-I2,aggregation-f040,PASS,True,tier1
contradiction-f003,contradiction-f003,PASS,True,tier1
contradiction-f004,contradiction-f004,PASS,True,tier1
contradiction-f006,contradiction-f006,PASS,True,tier1
contradiction-f006-I2,contradiction-f006,PASS,True,tier1
contradiction-f011,contradiction-f011,PASS,True,tier1
contradiction-f011-I2,contradiction-f011,PASS,True,tier1
contradiction-f014,contradiction-f014,PASS,True,tier2
contradiction-f017,contradiction-f017,PASS,True,tier1
contradiction-f022,contradiction-f022,PASS,True,tier1
contradiction-f024,contradiction-f024,PASS,True,tier3
counterfactual-f001,counterfactual-f001,PASS,True,tier2
counterfactual-f002,counterfactual-f002,PASS,True,tier1
counterfactual-f002-I2,counterfactual-f002,PASS,True,tier1
counterfactual-f003,counterfactual-f003,PASS,True,tier1
counterfactual-f003-I2,counterfactual-f003,PASS,True,f003_i2
counterfactual-f005,counterfactual-f005,PASS,True,tier1
counterfactual-f010,counterfactual-f010,PASS,True,tier1
counterfactual-f013,counterfactual-f013,PASS,True,tier1
preference_inference-f010,preference_inference-f010,PASS,True,tier3
preference_inference-f014,preference_inference-f014,PASS,True,tier2
preference_inference-f014-I2,preference_inference-f014,PASS,True,tier2
retrieval-f002,retrieval-f002,PASS,True,tier1
retrieval-f005,retrieval-f005,PASS,True,tier1
retrieval-f009,retrieval-f009,PASS,True,tier2
retrieval-f010,retrieval-f010,PASS,True,tier2
retrieval-f017,retrieval-f017,PASS,True,tier1
retrieval-f017-I2,retrieval-f017,PASS,True,tier1
situated_action-f029,situated_action-f029,REJECTED_NOT_IDENTIFIABLE,False,tier3
