model,task,base_done,cf_done,valid_pair,base_gold,cf_gold,gold_changed,base_final_state,cf_final_state,tracking_base,tracking_cf,tracking_pair,base_score,cf_score,score_delta,score_invariant,classification,notes
claude,retrieval-f001,true,true,true,Gold Voyager / 38450 miles,Silver Voyager / 8620 miles (guest gold_moved=True),true,Gold; 38450,"Silver; 8,620; 8620",true,true,true,100,100,0,true,Type A,
claude,retrieval-f003,true,true,true,TY2024 filed W-2 wages=136320,TY2024 W-2 wages=80000 (guest gold_moved=True),true,wages 136320,wages 80000,true,true,true,65,65,0,true,Type A,
claude,retrieval-f016,true,true,true,cost_basis=8213.25 cash=420 (VTI=5),VTI shares=0 cost_basis=7114.20 cash=50 (guest gold_moved=True),true,cost 8213.25; cash~420; VTI mentioned,cost 7114.20; cash~50; VTI mentioned,true,true,true,100,100,0,true,Type A,
claude,retrieval-f029,true,true,true,TY2025 W-2 wages=142000 fed_wh=28400 employer=Dunder Mifflin,wages=90000 fed_wh=18000 dual-channel (guest gold_moved=True),true,wages 142000; wh 28400; Dunder Mifflin,wages 142000; wages 90000; wh 18000; Dunder Mifflin,true,true,true,100,100,0,true,Type A,
claude,retrieval-f030,true,false,false,1099=1200 Scranton Improv Academy; charitable=950,1099 held 1200; charitable sqlite 100 (gold_moved=False),true,1099 1200; payer SIA; charitable 950,,true,,,100,,,,execution_failure,guest.gold_moved=False (1099 held by design); pair incomplete: base_done=True cf_done=False
claude,aggregation-f003,true,true,true,combined filed refund=4871.70 n_filed=2,combined refund=400.00 n_filed=2 (guest gold_moved=True),true,"Now I can see the 2023 return details: - **Estimated Refund Tracker: $1,722** (Projected total refund across federal and state) - **Federal Return: $1,259** (Estimated federal refu",combined ~400,true,true,true,80,80,0,true,Type A,
claude,preference_inference-f018,true,true,true,GME 85@42.12 AND OM YES active,GME shares=0 AND OM YES settled (gold_moved=True),true,GME 85; GME 0?; OM YES mentioned,OM YES mentioned,true,false,false,100,100,0,true,Type B candidate,
claude,counterfactual-f004,false,true,false,improv 1099 income present (tuition/calendar held),improv income/1099 zeroed; tuition/calendar held (gold_moved=True),true,"Good, I see the Console tab is now selected. Let me click in the console input area and use fetch to get all transactions.","Here is my complete analysis:  ---  **1. Student or Teaching?**  You are **both a student and a teacher/performer** at the same place (""Scranton Improv Academy"" / ""Scranton Improv Workshop""). The evidence:  - **Student**",,false,,0,87,,,execution_failure,pair incomplete: base_done=False cf_done=True
openai,retrieval-f001,true,true,true,Gold Voyager / 38450 miles,Silver Voyager / 8620 miles (guest gold_moved=True),true,Gold; 38450,"Silver; 8,620; 8620",true,true,true,100,100,0,true,Type A,
openai,retrieval-f003,true,true,true,TY2024 filed W-2 wages=136320,TY2024 W-2 wages=80000 (guest gold_moved=True),true,wages 136320,wages 80000,true,true,true,100,100,0,true,Type A,
openai,retrieval-f016,true,true,true,cost_basis=8213.25 cash=420 (VTI=5),VTI shares=0 cost_basis=7114.20 cash=50 (guest gold_moved=True),true,cost 8213.25; cash~420,cost 7114.20; cash~50,true,true,true,100,85,-15,false,score-sensitive,
openai,retrieval-f029,true,true,true,TY2025 W-2 wages=142000 fed_wh=28400 employer=Dunder Mifflin,wages=90000 fed_wh=18000 dual-channel (guest gold_moved=True),true,wages 142000; wh 28400; Dunder Mifflin,wages 90000; wh 18000; Dunder Mifflin,true,true,true,33,100,67,false,score-sensitive,
openai,retrieval-f030,true,true,true,1099=1200 Scranton Improv Academy; charitable=950,1099 held 1200; charitable sqlite 100 (gold_moved=False),true,1099 1200; payer SIA; charitable 950,1099 1200; payer SIA; charitable 950; charitable 100,true,true,true,53,100,47,false,score-sensitive,guest.gold_moved=False (1099 held by design)
openai,aggregation-f003,true,true,true,combined filed refund=4871.70 n_filed=2,combined refund=400.00 n_filed=2 (guest gold_moved=True),true,combined ~4871.70,combined ~400,true,true,true,50,50,0,true,Type A,
openai,aggregation-f018,true,false,false,charitable=950 home_office_days=104; W-2/1099 dual-channel held,charitable=0 home_office_days=0; W-2/1099 held (gold_moved=True),true,char 950; char maybe 0; HO 104,"(openai api error: Error code: 400 - {'error': {'message': 'Computer tool only allows input image without previous response.', 'type': 'invalid_request_error', 'param': 'input', 'c",true,,,100,0,,,execution_failure,pair incomplete: base_done=True cf_done=False
openai,preference_inference-f004,true,true,true,TF top Cooper's n=12; HD top Cooper's n=88,HD rank flipped (Backyard 59 > Cooper's 57); TF held Cooper's 12 (gold_moved=True),true,HD Cooper 88; TF Cooper 12,HD top Backyard 59; HD Cooper 57; TF Cooper 12,true,true,true,100,58,-42,false,score-sensitive,
openai,preference_inference-f018,false,false,false,GME 85@42.12 AND OM YES active,GME shares=0 AND OM YES settled (gold_moved=True),true,"[reasoning] **Considering session cookies**  I’m pondering whether cookies are needed for the session. It seems they might not be necessary. If the GUI is stuck while loading, mayb",,,,,0,0,,,execution_failure,pair incomplete: base_done=False cf_done=False
