task_id,domain,task_type,coverage_labels,stage4_status,identifiable,run_status,base_state,counterfactual_state,determining_set,expected_tracking_fields,score_dependency,primary_type_A_candidate,type_B_candidate,inject_blocker,instruction
retrieval-f001,Dinoco Airlines,retrieval,retrieval|personal_data,observed_type_A,True,observed_do_not_redesign,Gold Voyager / 38450 miles / 14280 ytd,Silver Voyager / 8620 miles / 8620 ytd,loyalty.status|loyalty.miles,tier|miles,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,True,False,,What's my current FlyMiles loyalty tier on Dinoco and how many miles do I have in the bank?
retrieval-f003,SpeedTax,retrieval,retrieval|financial|temporal,identifiable_reserve_unrun,True,queued,TY2024 filed W-2 wages=136320.0 (refund 2555.78 left alone),TY2024 filed W-2 wages=80000 (refund unchanged),tax_year=2024 filed W-2 wages,w2_wages_2024,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,True,False,,"On SpeedTax, find my W-2 from last year's filed return — the most recent prior-year one — and tell me the wages amount on it. Just the number from the W-2, not the refund."
retrieval-f016,BatBucks,retrieval,financial|multi_field|aggregation,identifiable_reserve_unrun,True,queued,"cost_basis=8213.25 cash=420 (DIS 896, GME 3580.20, RIVN 1462, SBUX 1176, VTI 1099.05)",VTI shares=0 so cost_basis=7114.20; cash=50. GME unchanged.,sum(shares*avg_cost)|portfolio.cash,cost_basis_total|cash,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,True,False,,"What's my total BatBucks portfolio worth at cost basis across everything I'm holding, and how much cash is sitting in the account?"
retrieval-f029,SpeedTax|Files,retrieval,retrieval|financial|multi_app,confounded_unrun,False,queued,TY2025 wages=142000 fed_wh=28400 employer=Dunder Mifflin; file matches,wages=90000 fed_wh=18000 in sqlite AND w2_summary.txt; employer still Dunder Mifflin,TY2025 W-2 wages|TY2025 federal_withholding|employer name|w2_summary.txt wages+withholding,wages|federal_withholding|employer,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",False,False,,"What was my gross income on my most-recent W-2, who was the employer, and how much federal tax got withheld? Double-check the numbers against ~/Documents/Tax_2025/w2_summary.txt and SpeedTax. I need the numbers for a thing."
retrieval-f030,SpeedTax|Files,retrieval,retrieval|financial|multi_field|joint_evidence,confounded_unrun,False,queued_type_B_designed,1099=1200 payer=Scranton Improv Academy (file matches); charitable=950 (no matching file line),1099+file unchanged; charitable=100,TY2025 1099 amount+payer (sqlite AND 1099s.txt)|TY2025 charitable (sqlite-only),1099_amount|1099_payer|charitable,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",False,True,,"What was my 1099 income on the most-recent return, who paid it, and how much did I claim for charitable contributions? Cross-check the 1099 payer and amount against ~/Documents/Tax_2025/1099s.txt. This is for my accountant."
aggregation-f003,SpeedTax,aggregation,aggregation|financial|temporal,observed_type_A,True,observed_do_not_redesign,"n_filed=2 combined=4871.70 years=[2023,2024]","n_filed=2 combined=400.00 years=[2023,2024]",sum(federal_refund+state_refund) over filed tax_year < current,combined_refund|n_filed,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),True,False,,Pull up my prior-year tax returns on SpeedTax and tell me my combined federal + state refund across the most recent filed years. I want one number that says 'over the last few years you've gotten back X total.'
aggregation-f018,SpeedTax|Files,aggregation,aggregation|multi_field|financial|multi_app|joint_evidence,confounded_unrun,False,queued_type_B_designed,charitable=950 home_office_days=104 W-2=142000/28400 1099=1200; files match W-2/1099; no file for charitable/home-office,charitable=0 home_office_days=0; W-2/1099 and files unchanged,TY2025 charitable (sqlite-only)|TY2025 home_office_days (sqlite-only)|TY2025 W-2 (sqlite AND w2_summary.txt)|TY2025 1099 (sqlite AND 1099s.txt),charitable|home_office_days|w2_gross|w2_fed_wh|1099_amount,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,False,True,,"Roll up my tax deductions for my accountant. Pull the line items (charitable, home-office days, 1099 income, W-2 gross/withholdings) from my in-progress Tax Year 2025 return in SpeedTax, and cross-check each line against my matching Tax_2025 source docs in ~/Documents (w2_summary.txt, 1099s.txt) to see whether the numbers in the in-progress return reconcile with the source docs. Don't guess the final refund on the in-progress return — that one isn't done yet."
preference_inference-f004,TableFind|HangryDash,comparison,comparison|filtering|multi_app,confounded_unrun,False,queued_score_sensitive_contrast,"TF top Cooper's n=12; HD top Cooper's n=88 (Backyard 28, Northern Light 28). Delivery-heavy split.",HD top is no longer Cooper's (Backyard or Northern Light wins); TF ranking unchanged (Cooper's still TF top).,TableFind reservation counts top-5|HangryDash order counts top-5,tf_top|hd_top|dine_vs_delivery_split,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",False,False,,"Am I more of a dine-out guy or a delivery guy? Look at where I make reservations vs where I order delivery from, top 5 each, and tell me how I split."
preference_inference-f018,BatBucks|OddsMarket,joint_evidence,joint_evidence|financial|multi_app|multi_field,observed_type_B,True,observed_do_not_redesign,GME 85@42.12 AND OM YES 200 active,GME shares=0 AND OM YES shares=0 status=settled,BatBucks GME shares|OddsMarket WILL-GME-100-YEAREND YES active,gme_shares|om_yes_status,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",False,True,,"I'm clearly a GameStop believer: I've got shares AND a prediction-market bet on it. If I wanted to lean INTO that conviction instead of fighting it, what would a rebalance look like? Cost basis only, no live prices."
counterfactual-f004,Gringotts|SpeedTax|HooliCalendar|HooliMail,contradiction,multi_app|financial|filtering,observed_mostly_not_DONE,True,observed_do_not_redesign,pays tuition AND receives 1099 (contradiction present),pays tuition; improv income/1099 amount = 0 (contradiction absent),Gringotts improv income transactions|SpeedTax 1099 amount from same payer,contradiction_flag|1099_amount|improv_income,"expected_sensitive_if_tracking — CF removes the contradiction the rubric rewards flagging. Keep as contradiction cell, not a Type A hunt. Stage 4: mostly not DONE.",False,False,,"What if I quit improv class? I pay them each month but I also got a 1099 from the same place, so am I a student or am I teaching? Figure out which, then tell me the real net annual savings if I walk away. Also how much calendar time do I get back, and flag any HooliMail threads where I'd need to send a cancellation notice."
