item_id,equivalence,ts
U2S2-0001,EQUIVALENT,2026-09-14T14:42:58Z
U2S2-0002,EQUIVALENT,2026-09-14T14:43:05Z
U2S2-0003,EQUIVALENT,2026-09-14T14:43:06Z
U2S2-0004,EQUIVALENT,2026-09-14T14:43:10Z
U2S2-0005,EQUIVALENT,2026-09-14T14:43:14Z
U2S2-0006,EQUIVALENT,2026-09-14T14:43:16Z
U2S2-0007,EQUIVALENT,2026-09-14T14:43:16Z
U2S2-0008,EQUIVALENT,2026-09-14T14:43:17Z
U2S2-0009,EQUIVALENT,2026-09-14T14:43:19Z
U2S2-0010,EQUIVALENT,2026-09-14T14:43:24Z
U2S2-0011,EQUIVALENT,2026-09-14T14:43:26Z
U2S2-0012,EQUIVALENT,2026-09-14T14:43:27Z
U2S2-0013,EQUIVALENT,2026-09-14T14:43:29Z
U2S2-0014,EQUIVALENT,2026-09-14T14:43:30Z
U2S2-0015,EQUIVALENT,2026-09-14T14:43:32Z
U2S2-0016,EQUIVALENT,2026-09-14T14:43:37Z
U2S2-0017,EQUIVALENT,2026-09-14T14:43:39Z
U2S2-0018,EQUIVALENT,2026-09-14T14:43:40Z
U2S2-0019,EQUIVALENT,2026-09-14T14:43:41Z
U2S2-0020,EQUIVALENT,2026-09-14T14:43:42Z
U2S2-0021,EQUIVALENT,2026-09-14T14:43:43Z
U2S2-0022,EQUIVALENT,2026-09-14T14:43:45Z
U2S2-0023,EQUIVALENT,2026-09-14T14:43:46Z
U2S2-0024,EQUIVALENT,2026-09-14T14:43:46Z
U2S2-0025,EQUIVALENT,2026-09-14T14:43:47Z
U2S2-0026,EQUIVALENT,2026-09-14T14:43:48Z
U2S2-0027,EQUIVALENT,2026-09-14T14:43:49Z
U2S2-0028,EQUIVALENT,2026-09-14T14:43:52Z
U2S2-0029,EQUIVALENT,2026-09-14T14:43:57Z
U2S2-0030,EQUIVALENT,2026-09-14T14:43:58Z
U2S2-0031,EQUIVALENT,2026-09-14T14:44:00Z
U2S2-0032,EQUIVALENT,2026-09-14T14:44:01Z
U2S2-0033,EQUIVALENT,2026-09-14T14:44:01Z
U2S2-0034,EQUIVALENT,2026-09-14T14:44:04Z
U2S2-0035,EQUIVALENT,2026-09-14T14:44:05Z
U2S2-0036,EQUIVALENT,2026-09-14T14:44:06Z
U2S2-0037,EQUIVALENT,2026-09-14T14:44:07Z
U2S2-0038,EQUIVALENT,2026-09-14T14:44:08Z
U2S2-0039,EQUIVALENT,2026-09-14T14:44:13Z
U2S2-0040,EQUIVALENT,2026-09-14T14:44:16Z
U2S2-0041,EQUIVALENT,2026-09-14T14:44:23Z
U2S2-0042,EQUIVALENT,2026-09-14T14:44:27Z
U2S2-0043,EQUIVALENT,2026-09-14T14:44:28Z
U2S2-0044,EQUIVALENT,2026-09-14T14:44:28Z
U2S2-0045,EQUIVALENT,2026-09-14T14:44:30Z
U2S2-0046,EQUIVALENT,2026-09-14T14:44:33Z
U2S2-0047,EQUIVALENT,2026-09-14T14:44:33Z
U2S2-0048,EQUIVALENT,2026-09-14T14:44:34Z
U2S2-0049,EQUIVALENT,2026-09-14T14:44:34Z
U2S2-0050,EQUIVALENT,2026-09-14T14:44:34Z
U2S2-0051,EQUIVALENT,2026-09-14T14:44:34Z
U2S2-0052,EQUIVALENT,2026-09-14T14:44:34Z
U2S2-0053,EQUIVALENT,2026-09-14T14:44:35Z
U2S2-0054,EQUIVALENT,2026-09-14T14:44:36Z
U2S2-0055,EQUIVALENT,2026-09-14T14:44:37Z
U2S2-0056,EQUIVALENT,2026-09-14T14:44:38Z
U2S2-0057,EQUIVALENT,2026-09-14T14:44:38Z
U2S2-0058,EQUIVALENT,2026-09-14T14:44:39Z
U2S2-0059,EQUIVALENT,2026-09-14T14:44:39Z
U2S2-0060,EQUIVALENT,2026-09-14T14:44:40Z
U2S2-0061,EQUIVALENT,2026-09-14T14:44:41Z
U2S2-0062,EQUIVALENT,2026-09-14T14:44:44Z
U2S2-0063,EQUIVALENT,2026-09-14T14:44:46Z
U2S2-0064,EQUIVALENT,2026-09-14T14:44:47Z
U2S2-0065,EQUIVALENT,2026-09-14T14:44:48Z
U2S2-0066,EQUIVALENT,2026-09-14T14:44:49Z
U2S2-0067,EQUIVALENT,2026-09-14T14:44:49Z
U2S2-0068,EQUIVALENT,2026-09-14T14:44:50Z
U2S2-0069,EQUIVALENT,2026-09-14T14:44:50Z
U2S2-0070,EQUIVALENT,2026-09-14T14:44:51Z
U2S2-0071,EQUIVALENT,2026-09-14T14:44:51Z
U2S2-0072,EQUIVALENT,2026-09-14T14:44:51Z
U2S2-0073,EQUIVALENT,2026-09-14T14:44:52Z
U2S2-0074,EQUIVALENT,2026-09-14T14:44:52Z
U2S2-0075,EQUIVALENT,2026-09-14T14:44:53Z
U2S2-0076,EQUIVALENT,2026-09-14T14:44:53Z
U2S2-0077,EQUIVALENT,2026-09-14T14:44:54Z
U2S2-0078,EQUIVALENT,2026-09-14T14:44:54Z
U2S2-0079,EQUIVALENT,2026-09-14T14:44:54Z
U2S2-0080,EQUIVALENT,2026-09-14T14:44:54Z
U2S2-0081,EQUIVALENT,2026-09-14T14:44:54Z
U2S2-0082,EQUIVALENT,2026-09-14T14:44:54Z
U2S2-0083,EQUIVALENT,2026-09-14T14:44:55Z
U2S2-0084,EQUIVALENT,2026-09-14T14:44:55Z
U2S2-0085,EQUIVALENT,2026-09-14T14:44:55Z
U2S2-0086,EQUIVALENT,2026-09-14T14:44:55Z
U2S2-0087,EQUIVALENT,2026-09-14T14:44:56Z
U2S2-0088,EQUIVALENT,2026-09-14T14:44:56Z
U2S2-0089,EQUIVALENT,2026-09-14T14:44:56Z
U2S2-0090,EQUIVALENT,2026-09-14T14:44:57Z
U2S2-0091,EQUIVALENT,2026-09-14T14:44:57Z
U2S2-0092,EQUIVALENT,2026-09-14T14:44:57Z
U2S2-0093,EQUIVALENT,2026-09-14T14:44:58Z
U2S2-0094,EQUIVALENT,2026-09-14T14:44:58Z
U2S2-0095,EQUIVALENT,2026-09-14T14:44:59Z
U2S2-0096,EQUIVALENT,2026-09-14T14:45:00Z
U2S2-0097,EQUIVALENT,2026-09-14T14:45:00Z
U2S2-0098,EQUIVALENT,2026-09-14T14:45:01Z
U2S2-0099,EQUIVALENT,2026-09-14T14:45:01Z
U2S2-0100,EQUIVALENT,2026-09-14T14:45:02Z
U2S2-0101,EQUIVALENT,2026-09-14T14:45:03Z
U2S2-0102,EQUIVALENT,2026-09-14T14:45:05Z
U2S2-0103,EQUIVALENT,2026-09-14T14:45:05Z
U2S2-0104,EQUIVALENT,2026-09-14T14:45:06Z
U2S2-0105,EQUIVALENT,2026-09-14T14:45:06Z
U2S2-0106,EQUIVALENT,2026-09-14T14:45:07Z
U2S2-0107,EQUIVALENT,2026-09-14T14:45:07Z
U2S2-0108,EQUIVALENT,2026-09-14T14:45:07Z
U2S2-0109,EQUIVALENT,2026-09-14T14:45:07Z
U2S2-0110,EQUIVALENT,2026-09-14T14:45:08Z
U2S2-0111,EQUIVALENT,2026-09-14T14:45:08Z
U2S2-0112,EQUIVALENT,2026-09-14T14:45:09Z
U2S2-0113,EQUIVALENT,2026-09-14T14:45:10Z
U2S2-0114,EQUIVALENT,2026-09-14T14:45:10Z
U2S2-0115,EQUIVALENT,2026-09-14T14:45:11Z
U2S2-0116,EQUIVALENT,2026-09-14T14:45:12Z
U2S2-0117,EQUIVALENT,2026-09-14T14:45:13Z
U2S2-0118,EQUIVALENT,2026-09-14T14:45:14Z
U2S2-0119,EQUIVALENT,2026-09-14T14:45:15Z
U2S2-0120,EQUIVALENT,2026-09-14T14:45:16Z
U2S2-0121,EQUIVALENT,2026-09-14T14:45:17Z
U2S2-0122,EQUIVALENT,2026-09-14T14:45:17Z
U2S2-0123,EQUIVALENT,2026-09-14T14:45:17Z
U2S2-0124,EQUIVALENT,2026-09-14T14:45:18Z
U2S2-0125,EQUIVALENT,2026-09-14T14:45:19Z
U2S2-0126,EQUIVALENT,2026-09-14T14:45:19Z
U2S2-0127,EQUIVALENT,2026-09-14T14:45:19Z
U2S2-0128,EQUIVALENT,2026-09-14T14:45:20Z
U2S2-0129,EQUIVALENT,2026-09-14T14:45:20Z
U2S2-0130,EQUIVALENT,2026-09-14T14:45:20Z
U2S2-0131,EQUIVALENT,2026-09-14T14:45:21Z
U2S2-0132,EQUIVALENT,2026-09-14T14:45:21Z
U2S2-0133,EQUIVALENT,2026-09-14T14:45:21Z
U2S2-0134,EQUIVALENT,2026-09-14T14:45:22Z
U2S2-0135,EQUIVALENT,2026-09-14T14:45:22Z
U2S2-0136,EQUIVALENT,2026-09-14T14:45:22Z
U2S2-0137,EQUIVALENT,2026-09-14T14:45:23Z
U2S2-0138,EQUIVALENT,2026-09-14T14:45:23Z
U2S2-0139,EQUIVALENT,2026-09-14T14:45:24Z
U2S2-0140,EQUIVALENT,2026-09-14T14:45:24Z
U2S2-0141,EQUIVALENT,2026-09-14T14:45:25Z
U2S2-0142,EQUIVALENT,2026-09-14T14:45:25Z
U2S2-0143,EQUIVALENT,2026-09-14T14:45:25Z
U2S2-0144,EQUIVALENT,2026-09-14T14:45:25Z
U2S2-0145,EQUIVALENT,2026-09-14T14:45:25Z
U2S2-0146,EQUIVALENT,2026-09-14T14:45:25Z
U2S2-0147,EQUIVALENT,2026-09-14T14:45:26Z
U2S2-0148,EQUIVALENT,2026-09-14T14:45:26Z
U2S2-0149,EQUIVALENT,2026-09-14T14:45:26Z
U2S2-0150,EQUIVALENT,2026-09-14T14:45:27Z
U2S2-0151,EQUIVALENT,2026-09-14T14:45:27Z
U2S2-0152,EQUIVALENT,2026-09-14T14:45:27Z
U2S2-0153,EQUIVALENT,2026-09-14T14:45:27Z
U2S2-0154,EQUIVALENT,2026-09-14T14:45:27Z
U2S2-0155,EQUIVALENT,2026-09-14T14:45:28Z
U2S2-0156,EQUIVALENT,2026-09-14T14:45:28Z
U2S2-0157,EQUIVALENT,2026-09-14T14:45:28Z
