role,agent_file,task_id,n_scored,n_qualified,n_discard,hit_cap,confirmed_task
cap_hit,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,181,126,76,1,Find an English bulldog near zip code 90028 that was cared for by a private owner.
cap_hit,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,180,134,84,1,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
cap_hit,operator_results.json,4639a54f3ab549864fd8d60b7398b1e1,195,99,49,1,Find a white female kitten within 35 miles of zip 77494.
cap_hit,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,325,91,41,1,Find Devin Booker's highest-scoring points per game playoff run.
cap_hit,operator_results.json,753f372c189d3b306623cb0c65b50320,71,53,3,1,"Compare the U.S. ETP Odd Lot Rate (%) between Quartile 1 and Quartile 4, viewing quartiles by price, and display the chart with a logarithmic scale on the vertical axis."
cap_hit,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,103,92,42,1,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
cap_hit,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,126,76,26,1,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
cap_hit,operator_results.json,b2f4fde2fce122a93c7b578086cb0585,481,58,8,1,"Find the cheapest hotel + flight + car package from New York to San Francisco, departing tomorrow and returning on the fourth day from departure, for two adults and a six-year-old child. The package should be one room with free breakfast and spa access."
cap_hit,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,212,172,122,1,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
cap_hit,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,185,135,85,1,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
operator_nearmiss,operator_results.json,f2be37a9a60fbc25b6b11cf622d17352,104,48,0,0,Find obedience trials in state of New York during the month of May.
operator_nearmiss,operator_results.json,da8f3823a827c7d3a492f383808e7912,103,46,0,0,Find and open the earliest press release.
operator_nearmiss,operator_results.json,e43cbc8a0bf9e999884928d11006f894,53,42,0,0,"Browse the list of things to do in Miami that have a rating of 9+ (wonderful), last between 1 to 4 hours per session, cost under $100 per person, and are available for booking between next Monday and next Friday."
operator_nearmiss,operator_results.json,e4e097222d13a2560db6f6892612dab6,65,38,0,0,Search for a young spayed male dog cared for by a private owner within 50 miles of zip 33109.
operator_nearmiss,operator_results.json,ef289e34a2f59a707cb07e2a6229ff03,90,37,0,0,Compare the Acura CL 2003 with the ILX 2022.
operator_nearmiss,operator_results.json,1223b07536a87e0170ff87cbbebd1d3c,43,35,0,0,"Complete a multiplication quiz on https://www.coolmath4kids.com/, covering multiplication facts for 11-12. The quiz should consist of 10 questions, with unlimited time allowed for each. The goal is to achieve a perfect score of 10 out of 10."
operator_nearmiss,operator_results.json,28e7574e7bd6d14f36d2988a5ef2bd23,50,34,0,0,"Get a part-time job within 5 miles of Moscow, Idaho in the accommodation and food services industry, as a chef, and show jobs for corporate only."
operator_nearmiss,operator_results.json,a48e2f1ee8d87eaeea56fe5e730427e6,49,32,0,0,Pass the first trending chess puzzle.
operator_nearmiss,operator_results.json,bf3b311cc8dce16d3de844f4b5875dfd,49,32,0,0,Compare Apple watches and  learn more about the ultra version on apple.
operator_nearmiss,operator_results.json,11857213ca01510f12813740afd59918,70,29,0,0,"Add the most top-selling Adidas men's basketball shoe in red, size 10 to my cart."
other_control,agente_results.json,c181f903ec1107b850032c17cad88393,23,14,0,0,Help me identify a white round pill with 123 written on it.
other_control,seeact_results.json,f2be37a9a60fbc25b6b11cf622d17352,14,3,0,0,Find obedience trials in state of New York during the month of May.
other_control,browser_use_results.json,905cb53061c33aa2d77e485fe1fca516,9,7,0,0,Browse dermatologists within 10 miles of zip code 10019 and filter by only those who accept Blue Medicare Advantage.
other_control,browser_use_results.json,dcd26e662a616d373ddd339747c6ce5b,25,19,0,0,"Take a weight management quiz to find a motivating article for a non-exercising, mostly eating out and can't control portions and cravings, and who has a strong support system, enjoys traveling, loves family time and cooking."
other_control,claude_computer_use_3.7_results.json,0a54069a0ef542e571d1fee7f39c93d5,21,16,0,0,Browse senior spayed/neutered dogs near zip code 90028.
other_control,claude_computer_use_3.7_results.json,11abb668c751dd56bb41f296a8bb3a13,30,24,0,0,Find a store near zip 30010 that provides authorized Apple services for imacs and make this one my store.
other_control,claude_computer_use_3.7_results.json,627f7a18d85f29a687234f1ade4585c2,18,7,0,0,Find the current league leader in total blocked shots.
other_control,claude_computer_use_3.5_results.json,ba01ea557b73f864c35ebba0dd6f3cb2,3,1,0,0,"Find the top-rated hotel in Manhattan, NY, suitable for 4 guests, and identify the fastest public transportation option from the hotel to LGA airport."
other_control,agente_results.json,6db4a0e346976f2729ba9afcd3208941,5,1,0,0,Look up tracking information for shipment #3023858502.
other_control,claude_computer_use_3.5_results.json,f389398d2eeb29e5571e00439c57eb76,5,1,0,0,Find the latest climate news.
