item_id,isolation,ts
U2S1-0001,DECISIVE,2026-09-14T08:42:10Z
U2S1-0002,DECISIVE,2026-09-14T08:42:34Z
U2S1-0003,DECISIVE,2026-09-14T08:42:36Z
U2S1-0004,NOT_DECISIVE,2026-09-14T08:42:41Z
U2S1-0005,NOT_DECISIVE,2026-09-14T08:42:58Z
U2S1-0006,NOT_DECISIVE,2026-09-14T08:43:19Z
U2S1-0007,NOT_DECISIVE,2026-09-14T08:43:22Z
U2S1-0008,DECISIVE,2026-09-14T08:43:48Z
U2S1-0009,DECISIVE,2026-09-14T08:44:11Z
U2S1-0010,DECISIVE,2026-09-14T08:44:17Z
U2S1-0011,DECISIVE,2026-09-14T08:44:20Z
U2S1-0012,NOT_DECISIVE,2026-09-14T08:44:25Z
U2S1-0013,NOT_DECISIVE,2026-09-14T08:44:37Z
U2S1-0014,DECISIVE,2026-09-14T08:44:55Z
U2S1-0015,NOT_DECISIVE,2026-09-14T08:45:11Z
U2S1-0016,UNCLEAR,2026-09-14T08:45:13Z
U2S1-0017,NOT_DECISIVE,2026-09-14T08:45:17Z
U2S1-0018,DECISIVE,2026-09-14T08:45:32Z
U2S1-0019,DECISIVE,2026-09-14T08:45:33Z
U2S1-0020,NOT_DECISIVE,2026-09-14T08:45:41Z
U2S1-0021,DECISIVE,2026-09-14T08:45:46Z
U2S1-0022,NOT_DECISIVE,2026-09-14T08:45:48Z
U2S1-0023,NOT_DECISIVE,2026-09-14T08:45:53Z
U2S1-0024,NOT_DECISIVE,2026-09-14T08:45:59Z
U2S1-0025,DECISIVE,2026-09-14T08:46:00Z
U2S1-0026,DECISIVE,2026-09-14T08:46:03Z
U2S1-0027,DECISIVE,2026-09-14T08:46:07Z
U2S1-0028,DECISIVE,2026-09-14T08:46:11Z
U2S1-0029,DECISIVE,2026-09-14T08:46:18Z
U2S1-0030,NOT_DECISIVE,2026-09-14T08:46:23Z
U2S1-0031,DECISIVE,2026-09-14T08:46:28Z
U2S1-0032,DECISIVE,2026-09-14T08:46:31Z
U2S1-0033,DECISIVE,2026-09-14T08:46:43Z
U2S1-0034,DECISIVE,2026-09-14T08:46:48Z
U2S1-0035,DECISIVE,2026-09-14T08:46:55Z
U2S1-0036,DECISIVE,2026-09-14T08:47:03Z
