item_id,task,leg,task_text,png_path
P3H-S1-0001,retrieval-f010,G1,Find who is hosting or concierge-handling the stay and report that name.,hpc_import/flash/retrieval-f010/G1/step_13_20260908@130518754743.png
P3H-S1-0002,aggregation-f020,G1,Read the BatBucks cash position the task asks you to report.,hpc_import/flash/aggregation-f020/G1/step_31_20260910@223548186117.png
P3H-S1-0003,counterfactual-f005,G0,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/claude/counterfactual-f005/G0/step_61_20260910@044250973110.png
P3H-S1-0004,counterfactual-f005,G0,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/claude/counterfactual-f005/G0/step_22_20260910@042855538257.png
P3H-S1-0005,counterfactual-f005,G1,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/flash/counterfactual-f005/G1/step_21_20260911@144109154801.png
P3H-S1-0006,counterfactual-f005,G1,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/flash/counterfactual-f005/G1/step_21_20260911@144113405880.png
P3H-S1-0007,aggregation-f020,G1,Read the BatBucks cash position the task asks you to report.,hpc_import/flash/aggregation-f020/G1/step_30_20260910@223516344405.png
P3H-S1-0008,aggregation-f020,G0,Read the BatBucks cash position the task asks you to report.,hpc_import/gpt/aggregation-f020/G0/step_49_20260907@211548754953.png
P3H-S1-0009,retrieval-f009,G0,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/gpt/retrieval-f009/G0/step_3_20260908@094713125281.png
P3H-S1-0010,retrieval-f009,G0,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/gpt/retrieval-f009/G0/step_1_20260908@094640549303.png
P3H-S1-0011,retrieval-f009,G1,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/gpt/retrieval-f009/G1/step_1_20260908@095936204388.png
P3H-S1-0012,counterfactual-f013,G0,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G0/step_48_20260908@152400345681.png
P3H-S1-0013,counterfactual-f013,G0,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G0/step_47_20260908@152341138523.png
P3H-S1-0014,aggregation-f020,G0,Read the BatBucks cash position the task asks you to report.,hpc_import/gpt/aggregation-f020/G0/step_48_20260907@211535393518.png
P3H-S1-0015,aggregation-f020,G0,Read the BatBucks cash position the task asks you to report.,hpc_import/gpt/aggregation-f020/G0/step_50_20260907@211604628474.png
P3H-S1-0016,counterfactual-f010,G0,Analyze the guest's banking and upcoming flights. Decide whether cash on hand covers optional flight upgrades without using a credit card.,hpc_import/flash/counterfactual-f010/G0/step_16_20260911@173932088603.png
P3H-S1-0017,counterfactual-f013,G0,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G0/step_48_20260908@152400345681.png
P3H-S1-0018,retrieval-f010,G1,Find who is hosting or concierge-handling the stay and report that name.,hpc_import/flash/retrieval-f010/G1/step_22_20260908@130700429579.png
P3H-S1-0019,retrieval-f009,G0,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/gpt/retrieval-f009/G0/step_2_20260908@094650367873.png
P3H-S1-0020,counterfactual-f013,G0,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G0/step_55_20260908@152859249633.png
P3H-S1-0021,counterfactual-f013,G0,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G0/step_47_20260908@152341138523.png
P3H-S1-0022,counterfactual-f005,G0,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/claude/counterfactual-f005/G0/step_60_20260910@044225136133.png
P3H-S1-0023,counterfactual-f005,G0,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/claude/counterfactual-f005/G0/step_61_20260910@044250973110.png
P3H-S1-0024,retrieval-f009,G1,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/flash/retrieval-f009/G1/step_32_20260911@105608077266.png
P3H-S1-0025,counterfactual-f005,G0,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/claude/counterfactual-f005/G0/step_60_20260910@044225136133.png
P3H-S1-0026,counterfactual-f013,G1,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G1/step_66_20260908@161904605579.png
P3H-S1-0027,counterfactual-f013,G0,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G0/step_55_20260908@152859249633.png
P3H-S1-0028,retrieval-f009,G1,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/gpt/retrieval-f009/G1/step_3_20260908@095953159575.png
P3H-S1-0029,retrieval-f010,G1,Find who is hosting or concierge-handling the stay and report that name.,hpc_import/flash/retrieval-f010/G1/step_13_20260908@130514081703.png
P3H-S1-0030,retrieval-f009,G1,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/gpt/retrieval-f009/G1/step_2_20260908@095945159491.png
P3H-S1-0031,counterfactual-f005,G1,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/flash/counterfactual-f005/G1/step_23_20260911@144159463903.png
P3H-S1-0032,counterfactual-f005,G0,Inspect the GME position after a world change. Report share count and/or average cost as the task specifies.,hpc_import/claude/counterfactual-f005/G0/step_22_20260910@042855538257.png
P3H-S1-0033,counterfactual-f013,G1,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G1/step_65_20260908@161847976077.png
P3H-S1-0034,retrieval-f009,G1,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/flash/retrieval-f009/G1/step_40_20260911@105845632747.png
P3H-S1-0035,retrieval-f009,G1,Find the New York trip records (hotel and/or flight) and report the confirmation identifiers the task asks for.,hpc_import/flash/retrieval-f009/G1/step_31_20260911@105547556617.png
P3H-S1-0036,counterfactual-f013,G1,Compare banking and investment balances after a world change. Report the relevant account figures the task asks for.,hpc_import/flash/counterfactual-f013/G1/step_67_20260908@161928787981.png
P3H-S1-0037,counterfactual-f010,G0,Analyze the guest's banking and upcoming flights. Decide whether cash on hand covers optional flight upgrades without using a credit card.,hpc_import/flash/counterfactual-f010/G0/step_17_20260911@173950882821.png
P3H-S1-0038,counterfactual-f010,G0,Analyze the guest's banking and upcoming flights. Decide whether cash on hand covers optional flight upgrades without using a credit card.,hpc_import/flash/counterfactual-f010/G0/step_15_20260911@173918559174.png
P3H-S1-0039,aggregation-f020,G1,Read the BatBucks cash position the task asks you to report.,hpc_import/flash/aggregation-f020/G1/step_29_20260910@223453387403.png
