model,task,phase,base_done,cf_done,valid_pair,base_gold,cf_gold,gold_changed,determining_set,tracking_items_base,tracking_items_cf,tracking_base,tracking_cf,tracking_pair,base_score,cf_score,score_delta,score_invariant,classification,base_traj,cf_traj,notes
claude,retrieval-f001,phase_a_locked,true,true,true,gold_moved=None; Gold/38450,gold_moved=True; Silver/8620,true,"[""loyalty.status"", ""loyalty.miles""]","{""tier"": true, ""miles"": true}","{""tier"": true, ""miles"": true}",true,true,true,100,100,0,true,Type A,results/stage4-retrieval-f001/base/retrieval-f001/traj.jsonl,results/stage4-retrieval-f001/cf/retrieval-f001/traj.jsonl,source=stage4_reuse; guest.gold_moved=True
claude,retrieval-f003,phase_b,true,true,true,gold_moved=None; 136320,gold_moved=True; 80000,true,"[""tax_year=2024 filed W-2 wages""]","{""w2_wages_2024"": true}","{""w2_wages_2024"": true}",true,true,true,65,65,0,true,Type A,results/phaseb-claude-retrieval-f003/base/retrieval-f003/traj.jsonl,results/phaseb-claude-retrieval-f003/cf/retrieval-f003/traj.jsonl,source=phaseb; guest.gold_moved=True
claude,retrieval-f016,phase_b,true,true,true,gold_moved=None; 8213.25/cash420,gold_moved=True; 7114.20/cash50,true,"[""sum(shares*avg_cost)"", ""portfolio.cash""]","{""cost_basis"": true, ""cash"": true}","{""cost_basis"": true, ""cash"": true}",true,true,true,100,100,0,true,Type A,results/phaseb-claude-retrieval-f016/base/retrieval-f016/traj.jsonl,results/phaseb-claude-retrieval-f016/cf/retrieval-f016/traj.jsonl,source=phaseb; guest.gold_moved=True
claude,retrieval-f029,phase_b,true,true,true,gold_moved=None; 142000/28400,gold_moved=True; 90000/18000,true,"[""TY2025 W-2 wages"", ""TY2025 federal_withholding"", ""employer name"", ""w2_summary.txt wages+withholding""]","{""wages"": true, ""fed_wh"": true, ""employer"": true}","{""wages"": true, ""fed_wh"": true, ""employer"": true}",true,true,true,100,100,0,true,Type A,results/phaseb-claude-retrieval-f029/base/retrieval-f029/traj.jsonl,results/phaseb-claude-retrieval-f029/cf/retrieval-f029/traj.jsonl,source=phaseb; guest.gold_moved=True
claude,retrieval-f030,phase_b,true,true,true,gold_moved=None; 1099=1200 held; charitable=950,gold_moved=False; 1099=1200 held; charitable=950,true,"[""TY2025 1099 amount+payer (sqlite AND 1099s.txt)"", ""TY2025 charitable (sqlite-only)""]","{""1099_amount"": false, ""1099_payer"": true, ""charitable"": true}","{""1099_amount"": true, ""1099_payer"": true, ""charitable"": true}",false,true,false,100,100,0,true,Type B,results/phaseb-claude-retrieval-f030/base/retrieval-f030/traj.jsonl,results/phaseb-claude-retrieval-f030/cf/retrieval-f030/traj.jsonl,source=phaseb; guest.gold_moved=False
claude,aggregation-f003,phase_a_locked,true,true,true,gold_moved=None; combined=4871.70,gold_moved=True; combined=400,true,"[""sum(federal_refund+state_refund) over filed tax_year < current""]","{""combined_refund"": true}","{""combined_refund"": true}",true,true,true,80,80,0,true,Type A,results/stage4-aggregation-f003/base/aggregation-f003/traj.jsonl,results/stage4-aggregation-f003/cf/aggregation-f003/traj.jsonl,source=stage4_reuse; guest.gold_moved=True
claude,aggregation-f018,phase_b,true,true,true,gold_moved=None; char=950 HO=104,gold_moved=True; char+HO=0 sqlite,true,"[""TY2025 charitable (sqlite-only)"", ""TY2025 home_office_days (sqlite-only)"", ""TY2025 W-2 (sqlite AND w2_summary.txt)"", ""TY2025 1099 (sqlite AND 1099s.txt)""]","{""charitable_sqlite"": true, ""home_office_sqlite"": true, ""w2_held"": true, ""1099_held"": true}","{""charitable_sqlite"": true, ""home_office_sqlite"": true, ""w2_held"": true, ""1099_held"": true}",true,true,true,100,100,0,true,Type A,results/phaseb-claude-aggregation-f018/base/aggregation-f018/traj.jsonl,results/phaseb-claude-aggregation-f018/cf/aggregation-f018/traj.jsonl,source=phaseb; guest.gold_moved=True
claude,preference_inference-f004,phase_b,true,true,true,gold_moved=None; HD Cooper 88; TF Cooper 12,gold_moved=True; HD Backyard 59,true,"[""TableFind reservation counts top-5"", ""HangryDash order counts top-5""]","{""tf_top"": true, ""hd_top"": true}","{""tf_top"": true, ""hd_top"": true}",true,true,true,100,79,-21,false,score-sensitive,results/phaseb-claude-preference_inference-f004/base/preference_inference-f004/traj.jsonl,results/phaseb-claude-preference_inference-f004/cf/preference_inference-f004/traj.jsonl,source=phaseb; guest.gold_moved=True
claude,preference_inference-f018,phase_a_locked,true,true,true,gold_moved=None; GME 85 + OM YES,gold_moved=True; GME 0 + OM settled,true,"[""BatBucks GME shares"", ""OddsMarket WILL-GME-100-YEAREND YES active""]","{""gme_shares"": true, ""om_yes_active"": true}","{""gme_shares"": true, ""om_yes_active"": false}",true,false,false,100,100,0,true,Type B,results/stage4-preference_inference-f018/base/preference_inference-f018/traj.jsonl,results/stage4-preference_inference-f018/cf/preference_inference-f018/traj.jsonl,source=stage4_reuse; guest.gold_moved=True
claude,counterfactual-f004,phase_a_locked,false,true,false,gold_moved=None; improv/1099 present,gold_moved=True; improv/1099 zeroed,true,"[""Gringotts improv income transactions"", ""SpeedTax 1099 amount from same payer""]",{},"{""1099_or_improv_income"": false}",,false,,0,87,,,execution_failure,results/stage4-counterfactual-f004/base/counterfactual-f004/traj.jsonl,results/stage4-counterfactual-f004/cf/counterfactual-f004/traj.jsonl,source=stage4_reuse; guest.gold_moved=True; pair incomplete
