item_id,agent_file,task_id,frame_index,confirmed_task
B2-0001,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,20,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0002,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,44,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0003,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,71,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0004,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,50,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0005,operator_results.json,33bd2cdcea4fcc42a09a8a1e4e5841c6,15,"Add a 5-piece Tenders Combo to my bag with Sweet Corn as the side, Sweet Tea as the drink, and both Honey BBQ and Honey Mustard sauces. Select the store closest to Zip code 10001 for pick-up tomorrow at 12:00 PM."
B2-0006,operator_results.json,2e4e21cf1449c6894b17d571c47b77ea,174,Find an English bulldog near zip code 90028 that was cared for by a private owner.
B2-0007,operator_results.json,fe33894188d20d7469f37a9fd855e7ff,3,"Find me Python 3.9 packages on PyPI that are designed for the Web Environment, licensed under MIT, have a stable production status, and are intended for developers."
B2-0008,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,101,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0009,claude_computer_use_3.5_results.json,f389398d2eeb29e5571e00439c57eb76,1,Find the latest climate news.
B2-0010,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,6,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0011,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,169,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
B2-0012,operator_results.json,7e1047f4803237f319c004f7a7f6bccb,31,"Discover the trade-in value of my Intel 7th generation i3 Windows 10, HP laptop in fair condition,  which has 8 GB memory and can be powered on, proceed for the in-store trade-in."
B2-0013,operator_results.json,6b2cfae0ef25c73d1224b6ab74cb8b63,258,Find Devin Booker's highest-scoring points per game playoff run.
B2-0014,operator_results.json,a13e4231a3d6a7000c622c56448d97ba,91,"Find an Airbnb in Cleveland for three nights. The check-in date is the day after tomorrow. We have 2 adults, 2 kids, and 1 pet. The budget is $100 to $300 per night. Essential amenities include free parking, a washer, and a gym."
B2-0015,operator_results.json,b3f8bd9198d9d157e0848109563c4b23,112,"Find a permanent job in Logistics within 20 miles of New York, zip 11005, in the middle-income range for a high school diploma holder."
