id,category,behavioral_type,difficulty,n_apps,n_rubrics,rubric_class,n_pinned,n_seed_relative,n_procedural,var_keys,n_var_keys,personal_ref,instruction
counterfactual-f008,counterfactual,cross_source_reconciliation,medium,2,7,seed_relative,0,2,1,,0,True,"What if I sold all my GameStop and Rivian and rolled the whole thing into VTI? Use cost basis (no live prices) and show me what my portfolio would look like before and after, with percentages. Use LibreOffice Calc to report this."
hard_app-f003,situated_action,bounded_action,hard,1,7,mixed,1,1,1,SPEEDTAX_FILING_STATUS,1,True,"Time to rebalance my BatBucks portfolio into something a financial advisor wouldn't laugh at. I'm aiming for roughly 60% VTI / 20% SBUX / 20% DIS across the blue-chip bucket at cost basis (RIVN stays put — I'm not touching that one). Sell every share of GME I'm holding to free up cash, then use that plus my free cash to buy enough VTI to push the allocation toward 60%. Do this as a cost-basis rebalance, not live prices. Exact percentages aren't required — a reasonable approximation toward the 60/20/20 shape is the goal."
hard_app-f004,situated_action,bounded_action,hard,1,5,pinned,1,0,2,SPEEDTAX_FILING_STATUS,1,True,"I want downside protection on every position I'm holding in BatBucks. Put a couple Stop order on each one at 15% below what I paid for it, just to give me a floor. Then build me a new watchlist called 'Oscar's Picks' with eight big-name ETFs in it. Make sure the stop-losses actually show up in my open orders and the watchlist is still there if I refresh."
preference_inference-f005,preference_inference,pattern_inference,medium,1,8,seed_relative,0,4,0,,0,True,"Take a look at my brokerage portfolio. How bad is my meme-stock problem, and what would a sensible rebalance look like that doesn't totally abandon the names I actually like? Use cost basis, not market prices. While you're at it, peek at my old WUPHF investment agreement in ~/Downloads/ — that one was the OG mistake, and it sets the pattern for how I get into these things. Return the review of my portfolio in LibreOffice Writer."
retrieval-f016,retrieval,personal_lookup,medium,1,4,seed_relative,0,1,0,,0,True,"What's my total BatBucks portfolio worth at cost basis across everything I'm holding, and how much cash is sitting in the account?"
situated_action-f017,situated_action,bounded_action,hard,1,4,seed_relative,0,1,2,,0,True,Trim my GameStop position in half and roll the proceeds into VTI. I'm trying to be less of a degenerate about this.
preference_inference-f014,preference_inference,pattern_inference,medium,1,6,seed_relative,0,4,0,,0,True,"Look at my hotel and resort bookings on Cheskepdia. Am I a luxury-hotels guy or a budget-hotels guy, and what's my pattern?"
situated_action-f028,situated_action,bounded_action,hard,1,4,procedural_only,0,0,1,,0,True,"I'm feeling nostalgic. Book me an upcoming Scranton weekend, Friday through Sunday. Pick a well-rated property in town and book it."
cua_only-f001,cua_only,bounded_action,medium,1,5,procedural_only,0,0,3,,0,True,"Open the Dinoco Airlines app, check in my next upcoming flight and confirm that the boarding pass screen actually renders. Download it locally as well."
aggregation-f001,aggregation,aggregation_reporting,medium,1,5,pinned,1,0,0,SPEEDTAX_FILING_STATUS,1,True,"How many miles have I actually flown on Dinoco over the past 12 months? Add up the miles from every completed Dinoco flight in that window. Give me a spreadsheet of each trip, and the miles for each one with a final row of the cumulative miles. Also include the upcoming trips and their milage."
situated_action-f001,situated_action,bounded_action,hard,2,6,mixed,1,1,2,SPEEDTAX_FILING_STATUS,1,True,Book me a one-way Dinoco flight from AVP to JFK in Economy for next Friday with my MasterCard. Make sure you get a seat on the left and a flight in the evening or night. Can you check that the we got a confirmation email for the flight and pull it up?
retrieval-f001,retrieval,personal_lookup,easy,1,3,mixed,1,2,0,SPEEDTAX_FILING_STATUS,1,True,What's my current FlyMiles loyalty tier on Dinoco and how many miles do I have in the bank?
hard_app-f001,hard_app,bounded_action,hard,2,5,pinned,1,0,1,SPEEDTAX_FILING_STATUS,1,True,"Cancel my next flight on Dinoco. After cancelling, verify we get an email for the cancellation, and pull it up. Let me know what you cancelled and how much credit we received."
aggregation-f019,aggregation,aggregation_reporting,medium,1,4,pinned,3,0,0,LOCKEDIN_COMPANY;SPEEDTAX_FILING_STATUS;SPEEDTAX_W2_EMPLOYER,3,True,How much have I actually spent taking eTaxi to the Dunder Mifflin office this year? Just the commute rides. Sum up and report the total cost in a LibreOffice Calc sheet.
situated_action-f038,situated_action,bounded_action,medium,1,5,pinned,3,0,1,LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,2,True,"Verify my saved work/office address on my ride app is set to Dunder Mifflin at 1725 Slough Ave (Suite 200, Scranton, PA). Report back what's currently saved — if it already matches, no action needed; if it's wrong or missing, fix it and save the change."
retrieval-f020,retrieval,personal_lookup,medium,1,5,pinned,1,0,1,LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,2,True,"Where did I save my Threat Level Midnight sequel notes? Should be tucked somewhere under ~/Documents/Projects. Give me a quick rundown of what's in there (plot, cast, whatever I had going). Can you draft up a script that I can use as a starting point? Make sure you include everyone from work as a character, for casting reasons."
retrieval-f032,retrieval,multi_step_orchestration,medium,4,4,pinned,1,0,1,,0,True,I remember making a Dundies categorization document. Show me the Dundies 2026 categories I came up with. Where is the doc and what categories did I put down? Can you make a presentation with these categories using LibreOffice Impress so I can prepare for the Dundies? Message each of the candidates to make sure they show up to the Dundies.
retrieval-f033,retrieval,personal_lookup,hard,2,5,seed_relative,0,2,1,,0,True,"I'm working on my book, 'Somehow I Manage'. Where did I save Chapter 1, and can you give me a quick summary of what's in it? If you can write an extension for two more chapters in LibreOffice Writer, that would be great."
situated_action-f029,situated_action,multi_step_orchestration,hard,3,5,pinned,1,0,2,LOCKEDIN_COMPANY;SPEEDTAX_W2_EMPLOYER,2,True,"Open my Threat Level Midnight sequel notes file and add five new plot points for me. Big ones. Michael Scarn's back. Send out the revised plot notes to a handful of my friends from work, who could be used for casting."
hard_app-f013,situated_action,bounded_action,hard,1,8,mixed,1,5,0,TABLEFIND_NEXT_RESERVATION_RESTAURANT,1,True,"I want a salad-forward lunch today on HangryDash from a restaurant in my order history that fits my vibe (salad-forward, nothing too spicy). Stick to my usual lunch budget. Apply any promo codes that surface and tip the driver 20%."
hard_app-f014,situated_action,bounded_action,hard,1,8,mixed,6,4,0,HANGRYDASH_TOP_RESTAURANT;TABLEFIND_TOP_RESTAURANT,2,True,"Rerun my last Cooper's Seafood House order from HangryDash with the same items I got last time. Apply any promo code that shows up and tip 20%. In the order notes, ask the kitchen to send extra napkins and crackers on the side, and to make sure anything hot is sent piping hot."
preference_inference-f025,preference_inference,pattern_inference,medium,2,7,seed_relative,0,5,0,,0,True,"What do I usually tip on food delivery, in dollars and as a percent? I want to set a smart default so I'm not thinking about it every order. Give me a report of all my orders and their tips in a LibreOffice spreadsheet."
situated_action-f009,situated_action,bounded_action,medium,1,4,mixed,3,3,0,DUNDIES_DOC_VENUE,1,True,"Order me my usual from Chili's — pick whichever item I've ordered most often from there, or just match my most recent Chili's order if multiple items are tied. Deliver to my place."
hard_app-f033,situated_action,multi_step_orchestration,hard,2,10,procedural_only,0,0,1,,0,True,"Check my Thursday for any improv conflicts. If there's a Thursday improv class window stomping on a work meeting (and I cannot skip improv), find a different Thursday slot for the work meeting that doesn't touch the improv window, and add fifteen-minute buffers on both sides so I can transition without looking frazzled. I think the meeting has Andy and Jim, message them on HooliWork and send them updated invites on Hoolicalendar if needed. If no Thursday meeting actually overlaps an improv block, just confirm the all-clear and move on."
