item_id,task,leg,target_png,gallery_note
P3H-S2-0001,aggregation-f020,G0,hpc_import/gpt/aggregation-f020/G0/step_50_20260907@211604628474.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0002,counterfactual-f010,G0,hpc_import/flash/counterfactual-f010/G0/step_17_20260911@173950882821.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0003,aggregation-f020,G0,hpc_import/gpt/aggregation-f020/G0/step_49_20260907@211548754953.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0004,retrieval-f009,G1,hpc_import/flash/retrieval-f009/G1/step_32_20260911@105608077266.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0005,counterfactual-f013,G0,hpc_import/flash/counterfactual-f013/G0/step_55_20260908@152859249633.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0006,aggregation-f020,G1,hpc_import/flash/aggregation-f020/G1/step_30_20260910@223516344405.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0007,counterfactual-f010,G0,hpc_import/flash/counterfactual-f010/G0/step_15_20260911@173918559174.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0008,counterfactual-f013,G1,hpc_import/flash/counterfactual-f013/G1/step_67_20260908@161928787981.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0009,counterfactual-f013,G0,hpc_import/flash/counterfactual-f013/G0/step_48_20260908@152400345681.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0010,counterfactual-f013,G0,hpc_import/flash/counterfactual-f013/G0/step_47_20260908@152341138523.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0011,retrieval-f009,G1,hpc_import/flash/retrieval-f009/G1/step_40_20260911@105845632747.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0012,counterfactual-f010,G0,hpc_import/flash/counterfactual-f010/G0/step_16_20260911@173932088603.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0013,retrieval-f010,G1,hpc_import/flash/retrieval-f010/G1/step_13_20260908@130514081703.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0014,retrieval-f009,G1,hpc_import/flash/retrieval-f009/G1/step_31_20260911@105547556617.png,other drawn frames of this dir; last is keep analogue
P3H-S2-0015,aggregation-f020,G1,hpc_import/flash/aggregation-f020/G1/step_31_20260910@223548186117.png,other drawn frames of this dir; last is keep analogue
