item_id,row_id,frame_index,is_last,isolation,equivalence,class
P3H-S1-0004,claude/counterfactual-f005/G0/gme_avg_cost,21,0,NOT_DECISIVE,,not_determining
P3H-S1-0022,claude/counterfactual-f005/G0/gme_avg_cost,59,0,NOT_DECISIVE,,not_determining
P3H-S1-0032,claude/counterfactual-f005/G0/gme_shares,21,0,NOT_DECISIVE,,not_determining
P3H-S1-0025,claude/counterfactual-f005/G0/gme_shares,59,0,NOT_DECISIVE,,not_determining
P3H-S1-0039,flash/aggregation-f020/G1/batbucks_cash,29,0,NOT_DECISIVE,,not_determining
P3H-S1-0007,flash/aggregation-f020/G1/batbucks_cash,30,0,DECISIVE,EQUIVALENT,redundant
P3H-S1-0005,flash/counterfactual-f005/G1/gme_shares,20,0,NOT_DECISIVE,,not_determining
P3H-S1-0006,flash/counterfactual-f005/G1/gme_shares,21,0,NOT_DECISIVE,,not_determining
P3H-S1-0038,flash/counterfactual-f010/G0/liquid_cash,15,0,DECISIVE,EQUIVALENT,redundant
P3H-S1-0016,flash/counterfactual-f010/G0/liquid_cash,16,0,DECISIVE,EQUIVALENT,redundant
P3H-S1-0021,flash/counterfactual-f013/G0/batbucks_dividends,48,0,DECISIVE,NOT_EQUIVALENT,irrecoverable
P3H-S1-0012,flash/counterfactual-f013/G0/batbucks_dividends,49,0,DECISIVE,NOT_EQUIVALENT,irrecoverable
P3H-S1-0013,flash/counterfactual-f013/G0/gringotts_savings,48,0,NOT_DECISIVE,,not_determining
P3H-S1-0017,flash/counterfactual-f013/G0/gringotts_savings,49,0,NOT_DECISIVE,,not_determining
P3H-S1-0033,flash/counterfactual-f013/G1/gringotts_savings,65,0,NOT_DECISIVE,,not_determining
P3H-S1-0026,flash/counterfactual-f013/G1/gringotts_savings,66,0,NOT_DECISIVE,,not_determining
P3H-S1-0035,flash/retrieval-f009/G1/nyc_flight_confirmation,31,0,DECISIVE,EQUIVALENT,redundant
P3H-S1-0024,flash/retrieval-f009/G1/nyc_flight_confirmation,32,0,DECISIVE,EQUIVALENT,redundant
P3H-S1-0029,flash/retrieval-f010/G1/host_name,12,0,DECISIVE,NOT_EQUIVALENT,irrecoverable
P3H-S1-0001,flash/retrieval-f010/G1/host_name,13,0,NOT_DECISIVE,,not_determining
P3H-S1-0014,gpt/aggregation-f020/G0/batbucks_cash,52,0,NOT_DECISIVE,,not_determining
P3H-S1-0008,gpt/aggregation-f020/G0/batbucks_cash,53,0,DECISIVE,EQUIVALENT,redundant
P3H-S1-0010,gpt/retrieval-f009/G0/nyc_hotel_confirmation,0,0,NOT_DECISIVE,,not_determining
P3H-S1-0019,gpt/retrieval-f009/G0/nyc_hotel_confirmation,1,0,NOT_DECISIVE,,not_determining
P3H-S1-0011,gpt/retrieval-f009/G1/nyc_flight_confirmation,3,0,NOT_DECISIVE,,not_determining
P3H-S1-0030,gpt/retrieval-f009/G1/nyc_flight_confirmation,4,0,NOT_DECISIVE,,not_determining
