model,tier,task,designed_role,base_score,cf_score,score_delta,classification,gold_intervention,tracking_mechanism
Claude,primary,retrieval-f001,"control (channel-invariant, point value)",100,100,0,type_a,loyalty.status/miles Gold/38450->Silver/8620,"Base reports Gold/38,450; CF reports Silver/8,620. Both correct."
Claude,primary,aggregation-f003,"control (channel-invariant, aggregation)",80,80,0,type_a,combined filed refund 4871.70->400.00,"Base reports $4,872; CF reports $400. Both correct."
Claude,primary,preference_inference-f018,"designed Type B (joint D, Stage 4 lock)",100,100,0,type_b,joint D: GME shares 85->0 AND OddsMarket YES 200/active->0/settled,"CF answer correctly zeroes GME (0 sh, $0.00) but still lists OddsMarket GameStop-YES as 200 sh/$16.00, byte-identical to the base row. One of two D components tracked."
GPT,primary,retrieval-f001,"control (channel-invariant, point value)",100,100,0,type_a,loyalty.status/miles Gold/38450->Silver/8620,"Base reports Gold/38,450; CF reports Silver/8,620. Both correct."
GPT,primary,aggregation-f003,"control (channel-invariant, aggregation)",50,50,0,type_a,combined filed refund 4871.70->400.00,"Base reports $4,871.70; CF reports $400. Both correct; absolute rubric score lower (misses a year-count criterion in both conditions)."
GPT,primary,counterfactual-f004,score-sensitive contrast (contradiction removal; score auxiliary),87,87,0,type_b,"1099_amount_0 for TY2023/2024/2025 all ->0 (this commit's patch zeroes all three; TY2025 was the whitespace-bug victim in the Stage-4-era commit, now fixed)","Base and CF answers are near-identical: both state the 1099-NEC is $1,200 and both subtract it from net savings (~$1,068/yr). CF does not reflect the zeroed 1099 field."
Qwen3.5-35B-A3B,primary,retrieval-f001,"control (channel-invariant, point value)",100,100,0,type_a,loyalty.status/miles Gold/38450->Silver/8620,"Base reports Gold/38,450; CF reports Silver/8,620. Both correct."
Qwen3.5-9B,size_ablation,retrieval-f001,"control (channel-invariant, point value)",80,80,0,type_a,loyalty.status/miles Gold/38450->Silver/8620,"Base reports Gold/38,450; CF reports Silver/8,620. Both correct."
Qwen3.5-9B,size_ablation,aggregation-f003,"control (channel-invariant, aggregation)",50,80,30,sensitive,combined filed refund 4871.70->400.00,"Base reports $4,872; CF reports $400. Both correct (tracks); score moves 50->80 on an unrelated per-year-breakdown criterion."
Qwen3.8-Flash,exploratory,retrieval-f001,"control (channel-invariant, point value)",100,100,0,type_a,loyalty.status/miles Gold/38450->Silver/8620,"Base reports Gold/38,450; CF reports Silver/8,620. Both correct (plus extra MQM detail)."
Qwen3.8-Flash,exploratory,aggregation-f003,"control (channel-invariant, aggregation)",80,100,20,sensitive,combined filed refund 4871.70->400.00,"Base reports $4,872; CF reports $400. Both correct (tracks); score moves 80->100."
Claude,primary,retrieval-f003,control (single sqlite channel),65,65,0,type_a,TY2024 filed W-2 wages 136320->80000,"Base reports $136,320; CF reports $80,000. Both correct."
Claude,primary,retrieval-f016,"control (single-app aggregation, distractor channel held constant)",100,100,0,type_a,VTI shares 5->0 / cash 420->50 (cost-basis total 8213.25->7114.20); GME held constant,"Base reports $8,213.25 total / $420 cash; CF reports $7,114.20 / $50. GME unchanged in both. Both correct."
Claude,primary,retrieval-f029,"control (dual-channel, sqlite+file must move together)",100,100,0,type_a,"dual-channel: sqlite+file W-2 wages 142000->90000, fed withheld 28400->18000 (file and sqlite must move together)","Base reports $142,000/$28,400 (sqlite) cross-checked against file ($142,000); CF reports $90,000/$18,000 cross-checked against file ($90,000). Both channels tracked on both legs."
Claude,primary,retrieval-f030,designed Type B (1099 dual-channel held constant; charitable sqlite-only moves),100,100,0,type_b,"D={1099 payer/amount HELD CONSTANT at $1,200 TY2025; charitable sqlite-only 950->100}. Primary probe (1099) is designed not to move.","Base answers using TY2024 (filed) 1099 data ($1,080), not TY2025 (in-progress, the actually-tested row, $1,200) -- a wrong-year read, not a tracking miss on the manipulated field. CF correctly reports TY2025: 1099 unchanged at $1,200, charitable correctly moved to $100. The joint answer is internally inconsistent across the pair because of the base-leg year confusion, not because CF missed the sqlite move."
Claude,primary,aggregation-f018,designed Type B (charitable+home-office sqlite-only move; W-2/1099 dual-channel held),100,100,0,type_a,"D={charitable sqlite-only 950->0, home_office sqlite-only 104->0}; W-2/1099 dual-channel and files held constant","Base reports SpeedTax charitable $950 / home-office 104 days, matching the (untouched) file. CF reports SpeedTax charitable $0.00 / home-office 0 days, explicitly flagging that the file still shows $950/104 as an unreconciled mismatch -- correct given only the sqlite side was patched. Both legs correct."
Claude,primary,preference_inference-f004,score-sensitive contrast (rubric pins Cooper's as HD top; D=1),100,79,-21,sensitive,HangryDash order-count winner Cooper's(88)->Backyard Ale House(59); TableFind ranking held constant,"Base reports Cooper's as HD #1 (88); CF reports Backyard Ale House as HD #1 (59), Cooper's #2 (57). TableFind top-5 identical in both. Tracks correctly; score moves 100->79 as the rubric's pinned answer ('Cooper's is HD top') goes stale."
GPT,primary,retrieval-f003,control (single sqlite channel),100,100,0,type_a,TY2024 filed W-2 wages 136320->80000,"Base reports 136,320; CF reports 80,000. Both correct."
GPT,primary,retrieval-f016,"control (single-app aggregation, distractor channel held constant)",100,85,-15,sensitive,VTI shares 5->0 / cash 420->50 (cost-basis total 8213.25->7114.20); GME held constant,"Base reports $8,213.25 / $420; CF reports $7,114.20 / $50. Both correct (tracks); score moves 100->85."
GPT,primary,retrieval-f029,"control (dual-channel, sqlite+file must move together)",33,100,67,sensitive,"dual-channel: sqlite+file W-2 wages 142000->90000, fed withheld 28400->18000","Base reports $142,000/$28,400, cross-checked against file; CF reports $90,000/$18,000, cross-checked against file. Both legs correct (tracks); score moves 33->100 on criteria unrelated to the wage figure itself."
GPT,primary,retrieval-f030,designed Type B (1099 dual-channel held constant; charitable sqlite-only moves),53,100,47,sensitive,"D={1099 payer/amount HELD CONSTANT at $1,200 TY2025; charitable sqlite-only 950->100}","Base correctly identifies TY2025 as most-recent, reports 1099 $1,200 (unchanged, correct) and charitable $950 (correct pre-image). CF reports 1099 still $1,200 (correctly unchanged) and charitable correctly moved to $100, flagging the file/sqlite mismatch explicitly. Full, correct tracking on both legs; score still moves 53->100 for reasons unrelated to the two D components."
GPT,primary,preference_inference-f004,score-sensitive contrast (rubric pins Cooper's as HD top; D=1),100,58,-42,sensitive,HangryDash order-count winner Cooper's(88)->Backyard Ale House(59); TableFind ranking held constant,"Base reports Cooper's as HD #1 (88); CF reports Backyard Ale House as HD #1 (59), Cooper's #2 (57). Tracks correctly; score moves 100->58."
Qwen3.5-9B,size_ablation,retrieval-f016,"control (single-app aggregation, distractor channel held constant)",100,100,0,type_b,VTI shares 5->0 / cash 420->50 (cost-basis total 8213.25->7114.20); GME held constant,"Base reports total cost basis $8,788.75 -- does not match true baseline gold $8,213.25 (delta $575.50, source of the error not identified in the trajectory). CF correctly reports $7,114.20 (matches true CF gold exactly). Base leg does not correctly reflect G0; CF leg does. Score 100/100 both."
Qwen3.8-Flash,exploratory,retrieval-f029,"control (dual-channel, sqlite+file must move together)",100,100,0,type_b,"dual-channel: sqlite+file W-2 wages 142000->90000, fed withheld 28400->18000","Base reports $142,000/$28,400 (correct). CF reports 'Total Income $91,200' for Box-1 wages -- does not match true CF gold $90,000 (off by exactly $1,200); federal withholding is reported correctly as $18,000. Partial/imprecise tracking of a manipulated field. Score 100/100 both."
