item_id,lane,task,leg,component,row_id,frame_index,screenshot,is_last,png_exists,gold_in_line_text,png_path
P3H-S1-0004,claude,counterfactual-f005,G0,gme_avg_cost,claude/counterfactual-f005/G0/gme_avg_cost,21,step_22_20260910@042855538257.png,0,1,1,hpc_import/claude/counterfactual-f005/G0/step_22_20260910@042855538257.png
P3H-S1-0022,claude,counterfactual-f005,G0,gme_avg_cost,claude/counterfactual-f005/G0/gme_avg_cost,59,step_60_20260910@044225136133.png,0,1,0,hpc_import/claude/counterfactual-f005/G0/step_60_20260910@044225136133.png
P3H-S1-0003,claude,counterfactual-f005,G0,gme_avg_cost,claude/counterfactual-f005/G0/gme_avg_cost,60,step_61_20260910@044250973110.png,1,1,1,hpc_import/claude/counterfactual-f005/G0/step_61_20260910@044250973110.png
P3H-S1-0032,claude,counterfactual-f005,G0,gme_shares,claude/counterfactual-f005/G0/gme_shares,21,step_22_20260910@042855538257.png,0,1,1,hpc_import/claude/counterfactual-f005/G0/step_22_20260910@042855538257.png
P3H-S1-0025,claude,counterfactual-f005,G0,gme_shares,claude/counterfactual-f005/G0/gme_shares,59,step_60_20260910@044225136133.png,0,1,0,hpc_import/claude/counterfactual-f005/G0/step_60_20260910@044225136133.png
P3H-S1-0023,claude,counterfactual-f005,G0,gme_shares,claude/counterfactual-f005/G0/gme_shares,60,step_61_20260910@044250973110.png,1,1,1,hpc_import/claude/counterfactual-f005/G0/step_61_20260910@044250973110.png
P3H-S1-0039,flash,aggregation-f020,G1,batbucks_cash,flash/aggregation-f020/G1/batbucks_cash,29,step_29_20260910@223453387403.png,0,1,0,hpc_import/flash/aggregation-f020/G1/step_29_20260910@223453387403.png
P3H-S1-0007,flash,aggregation-f020,G1,batbucks_cash,flash/aggregation-f020/G1/batbucks_cash,30,step_30_20260910@223516344405.png,0,1,0,hpc_import/flash/aggregation-f020/G1/step_30_20260910@223516344405.png
P3H-S1-0002,flash,aggregation-f020,G1,batbucks_cash,flash/aggregation-f020/G1/batbucks_cash,31,step_31_20260910@223548186117.png,1,1,1,hpc_import/flash/aggregation-f020/G1/step_31_20260910@223548186117.png
P3H-S1-0005,flash,counterfactual-f005,G1,gme_shares,flash/counterfactual-f005/G1/gme_shares,20,step_21_20260911@144109154801.png,0,1,1,hpc_import/flash/counterfactual-f005/G1/step_21_20260911@144109154801.png
P3H-S1-0006,flash,counterfactual-f005,G1,gme_shares,flash/counterfactual-f005/G1/gme_shares,21,step_21_20260911@144113405880.png,0,1,1,hpc_import/flash/counterfactual-f005/G1/step_21_20260911@144113405880.png
P3H-S1-0031,flash,counterfactual-f005,G1,gme_shares,flash/counterfactual-f005/G1/gme_shares,23,step_23_20260911@144159463903.png,1,1,1,hpc_import/flash/counterfactual-f005/G1/step_23_20260911@144159463903.png
P3H-S1-0038,flash,counterfactual-f010,G0,liquid_cash,flash/counterfactual-f010/G0/liquid_cash,15,step_15_20260911@173918559174.png,0,1,0,hpc_import/flash/counterfactual-f010/G0/step_15_20260911@173918559174.png
P3H-S1-0016,flash,counterfactual-f010,G0,liquid_cash,flash/counterfactual-f010/G0/liquid_cash,16,step_16_20260911@173932088603.png,0,1,0,hpc_import/flash/counterfactual-f010/G0/step_16_20260911@173932088603.png
P3H-S1-0037,flash,counterfactual-f010,G0,liquid_cash,flash/counterfactual-f010/G0/liquid_cash,17,step_17_20260911@173950882821.png,1,1,0,hpc_import/flash/counterfactual-f010/G0/step_17_20260911@173950882821.png
P3H-S1-0021,flash,counterfactual-f013,G0,batbucks_dividends,flash/counterfactual-f013/G0/batbucks_dividends,48,step_47_20260908@152341138523.png,0,1,1,hpc_import/flash/counterfactual-f013/G0/step_47_20260908@152341138523.png
P3H-S1-0012,flash,counterfactual-f013,G0,batbucks_dividends,flash/counterfactual-f013/G0/batbucks_dividends,49,step_48_20260908@152400345681.png,0,1,1,hpc_import/flash/counterfactual-f013/G0/step_48_20260908@152400345681.png
P3H-S1-0027,flash,counterfactual-f013,G0,batbucks_dividends,flash/counterfactual-f013/G0/batbucks_dividends,56,step_55_20260908@152859249633.png,1,1,1,hpc_import/flash/counterfactual-f013/G0/step_55_20260908@152859249633.png
P3H-S1-0013,flash,counterfactual-f013,G0,gringotts_savings,flash/counterfactual-f013/G0/gringotts_savings,48,step_47_20260908@152341138523.png,0,1,1,hpc_import/flash/counterfactual-f013/G0/step_47_20260908@152341138523.png
P3H-S1-0017,flash,counterfactual-f013,G0,gringotts_savings,flash/counterfactual-f013/G0/gringotts_savings,49,step_48_20260908@152400345681.png,0,1,1,hpc_import/flash/counterfactual-f013/G0/step_48_20260908@152400345681.png
P3H-S1-0020,flash,counterfactual-f013,G0,gringotts_savings,flash/counterfactual-f013/G0/gringotts_savings,56,step_55_20260908@152859249633.png,1,1,1,hpc_import/flash/counterfactual-f013/G0/step_55_20260908@152859249633.png
P3H-S1-0033,flash,counterfactual-f013,G1,gringotts_savings,flash/counterfactual-f013/G1/gringotts_savings,65,step_65_20260908@161847976077.png,0,1,0,hpc_import/flash/counterfactual-f013/G1/step_65_20260908@161847976077.png
P3H-S1-0026,flash,counterfactual-f013,G1,gringotts_savings,flash/counterfactual-f013/G1/gringotts_savings,66,step_66_20260908@161904605579.png,0,1,0,hpc_import/flash/counterfactual-f013/G1/step_66_20260908@161904605579.png
