item_id,isolation,notes
P3H-S1-0001,NOT_DECISIVE,reservation details; no host name
P3H-S1-0002,DECISIVE,BatBucks CASH 420 on last frame
P3H-S1-0003,NOT_DECISIVE,Gringotts overview; no GME avg/shares
P3H-S1-0004,NOT_DECISIVE,BatBucks loading portfolio
P3H-S1-0005,NOT_DECISIVE,Gringotts accounts; no GME shares
P3H-S1-0006,NOT_DECISIVE,Gringotts accounts; no GME shares
P3H-S1-0007,DECISIVE,BatBucks CASH 420
P3H-S1-0008,DECISIVE,BatBucks CASH 420
P3H-S1-0009,NOT_DECISIVE,Unable to connect; no hotel confirmation
P3H-S1-0010,NOT_DECISIVE,Unable to connect
P3H-S1-0011,NOT_DECISIVE,Unable to connect
P3H-S1-0012,DECISIVE,dividend dump shows paid 64.88
P3H-S1-0013,NOT_DECISIVE,same dump; no Gringotts savings 16413
P3H-S1-0014,NOT_DECISIVE,Gringotts card page; no BatBucks cash
P3H-S1-0015,DECISIVE,BatBucks CASH 420 last
P3H-S1-0016,DECISIVE,liquid 66493.59 on dashboard
P3H-S1-0017,NOT_DECISIVE,dividend dump; no savings 16413
P3H-S1-0018,NOT_DECISIVE,price breakdown; no host name
P3H-S1-0019,NOT_DECISIVE,Unable to connect
P3H-S1-0020,DECISIVE,Gringotts Savings 16413.28 last
P3H-S1-0021,DECISIVE,dividend dump shows paid 64.88
P3H-S1-0022,NOT_DECISIVE,Gringotts overview; no GME
P3H-S1-0023,NOT_DECISIVE,Gringotts overview; no GME
P3H-S1-0024,DECISIVE,NYC flight confirmation DN-87856
P3H-S1-0025,NOT_DECISIVE,Gringotts overview; no GME shares
P3H-S1-0026,NOT_DECISIVE,accounts menu; savings amount not shown
P3H-S1-0027,NOT_DECISIVE,last is accounts; 64.88 not on screen
P3H-S1-0028,NOT_DECISIVE,Unable to connect
P3H-S1-0029,DECISIVE,Hosted by Sandals Resorts Concierge
P3H-S1-0030,NOT_DECISIVE,Unable to connect
P3H-S1-0031,NOT_DECISIVE,Gringotts savings list; no GME 170
P3H-S1-0032,NOT_DECISIVE,BatBucks loading; no GME shares
P3H-S1-0033,NOT_DECISIVE,deposit total only; 3282.66 not shown
P3H-S1-0034,DECISIVE,NYC flight confirmation DN-87856 last
P3H-S1-0035,DECISIVE,NYC flight confirmation DN-87856
P3H-S1-0036,DECISIVE,Gringotts Savings 3282.66 last
P3H-S1-0037,DECISIVE,liquid 66493.59 on accounts last
P3H-S1-0038,DECISIVE,liquid 66493.59 on dashboard
P3H-S1-0039,NOT_DECISIVE,Gringotts card; no BatBucks cash
