lane,task,sts0,sts1,sts,Y,s0,s1,delta_s,gold_null_any
gpt,aggregation-f020,0.0,0.3333333333333333,0.16666666666666666,0,83,64,-19,False
gpt,aggregation-f037,0.0,0.0,0.0,0,100,75,-25,False
gpt,contradiction-f004,0.0,0.0,0.0,0,85,85,0,False
gpt,counterfactual-f005,0.0,0.0,0.0,0,83,100,17,False
gpt,counterfactual-f010,0.0,0.0,0.0,0,83,87,4,False
gpt,preference_inference-f014,0.0,0.0,0.0,0,0,52,52,False
gpt,retrieval-f002,1.0,0.0,0.5,0,75,75,0,False
gpt,retrieval-f009,0.6666666666666666,0.3333333333333333,0.49999999999999994,0,40,40,0,False
gpt,retrieval-f017,0.0,0.0,0.0,0,75,100,25,False
flash,contradiction-f006,0.0,0.0,0.0,0,82,82,0,False
flash,counterfactual-f010,0.0,0.0,0.0,0,100,100,0,False
flash,counterfactual-f013,0.3333333333333333,0.6666666666666666,0.49999999999999994,0,100,100,0,False
flash,preference_inference-f010,0.0,0.0,0.0,0,100,100,0,True
flash,preference_inference-f014,0.0,0.0,0.0,0,84,100,16,False
flash,retrieval-f002,1.0,0.0,0.5,0,100,100,0,False
flash,retrieval-f009,0.6666666666666666,0.0,0.3333333333333333,0,100,100,0,False
flash,retrieval-f010,1.0,0.0,0.5,0,100,100,0,False
claude,counterfactual-f013,0.0,0.0,0.0,0,100,100,0,False
