model,task,criterion_index,criterion_text,depends_on_D,base_per_rubric_max,cf_per_rubric_max,item_delta,pair_classification,registry_score_dependency,notes
claude,retrieval-f001,0,Live Dinoco profile: tier (0.4) + miles (0.4) + report both (0.2). Does not name Gold or 38450.,rubric_does_not_name_seed,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f001,1,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f001,2,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f003,0,Pick most-recent filed prior year (0.3),rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f003,1,read W-2 not refund (0.35),rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f003,2,report wages as a dollar figure (0.35). Does not name 136320.,rubric_does_not_name_seed,0,0,0,Type A,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f016,0,Cost-basis sum shares×avg_cost (0.4) + cash separately (0.3) + cost-basis framing (0.15) + reconcile rows (0.15). Does not name 8213.25 or 420.,rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f016,1,,rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f016,2,,rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f016,3,,rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f029,0,Open SpeedTax W-2 (0.33),unknown,1,1,0,Type A,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f029,1,"report gross wages AND Dunder Mifflin as employer (0.33, value-class pin)",likely_yes,1,1,0,Type A,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f029,2,report federal withholding and cross-check w2_summary.txt (0.33).,unknown,1,1,0,Type A,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f030,0,Find 1099 (0.27),unknown,1,1,0,Type B,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f030,1,"report 1099 amount from Scranton Improv Academy AND charitable total (0.27, value pin on payer)",likely_yes,1,1,0,Type B,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f030,2,cross-check 1099s.txt payer+amount (0.27),unknown,1,1,0,Type B,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,retrieval-f030,3,surface charitable line (0.20).,unknown,1,1,0,Type B,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f003,0,Filed prior years only (0.25),unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f003,1,both federal and state (0.25),unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f003,2,single combined total + year count (0.30),unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f003,3,relative-year framing (0.20). Does not name 4871.70.,rubric_does_not_name_seed,0,0,0,Type A,expected_invariant_if_judge_does_not_pin_4871 — Stage 4 Claude/GPT Type A; 35B CF invalid; 9B/Flash score-sensitive (ablation only),per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,0,"Seven value-class criteria (~0.15 each): charitable, home-office days, 1099+payer, W-2 totals, file cross-check, no final refund, complete rollup. Criteria name the fields, not the seed numbers, except the file names.",likely_yes,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,1,,unknown,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,2,,unknown,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,3,,unknown,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,4,,unknown,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,5,,unknown,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,aggregation-f018,6,,unknown,1,1,0,Type A,designed_partial — W-2/1099+files (~0.45) plus completeness/no-refund (~0.25) can still look like success if charitable+home-office (~0.30) are missed.,per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f004,0,TF top from live counts (0.21),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f004,1,"Cooper's Seafood House as HD top (0.21, value pin)",likely_yes,1,0,-1,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f004,2,top-5 overlap (0.21),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f004,3,dine vs delivery split (0.16),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f004,4,cite both apps (0.11),unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f004,5,report both top-5s (0.11).,unknown,1,1,0,score-sensitive,"expected_sensitive — rubric names Cooper's as HD top. If the agent tracks the new HD winner, that criterion should fail. Keep as contrast class vs f001 (score-invariant Type A), not a Type A hunt.",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f018,0,Surface GME shares+basis (0.21),likely_yes,1,1,0,Type B,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f018,1,"surface OM GameStop-above-$100 YES (0.21, value)",likely_yes,1,1,0,Type B,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f018,2,cost basis only (0.16),unknown,1,1,0,Type B,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f018,3,lean-INTO rebalance (0.21),unknown,1,1,0,Type B,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f018,4,cite both (0.11),unknown,1,1,0,Type B,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",per_rubric_max from rubric_result.json; criterion text from frozen registry
claude,preference_inference-f018,5,specific lean-in proposal (0.11). Advice-shaped: a plausible lean-in can still score high if one conjunct is missed.,unknown,1,1,0,Type B,"designed_joint — Stage 4 Claude: GME 0 tracked, YES still asserted, 100→100. GPT/Qwen CF not DONE (technical, not track=0).",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f001,0,Live Dinoco profile: tier (0.4) + miles (0.4) + report both (0.2). Does not name Gold or 38450.,rubric_does_not_name_seed,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f001,1,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f001,2,,unknown,1,1,0,Type A,expected_invariant_if_judge_does_not_pin_Gold — Stage 4: 100→100 on 3 primary agents,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f003,0,Pick most-recent filed prior year (0.3),rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f003,1,read W-2 not refund (0.35),rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f003,2,report wages as a dollar figure (0.35). Does not name 136320.,rubric_does_not_name_seed,1,1,0,Type A,unknown_a_priori — rubric does not pin 136320; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f016,0,Cost-basis sum shares×avg_cost (0.4) + cash separately (0.3) + cost-basis framing (0.15) + reconcile rows (0.15). Does not name 8213.25 or 420.,rubric_does_not_name_seed,1,1,0,score-sensitive,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f016,1,,rubric_does_not_name_seed,1,1,0,score-sensitive,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f016,2,,rubric_does_not_name_seed,1,1,0,score-sensitive,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f016,3,,rubric_does_not_name_seed,1,0,-1,score-sensitive,unknown_a_priori — rubric does not pin the numbers; Type A if tracks and ΔS=0,per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f029,0,Open SpeedTax W-2 (0.33),unknown,1,1,0,score-sensitive,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f029,1,"report gross wages AND Dunder Mifflin as employer (0.33, value-class pin)",likely_yes,0,1,1,score-sensitive,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f029,2,report federal withholding and cross-check w2_summary.txt (0.33).,unknown,0,1,1,score-sensitive,"mixed — employer pin may keep partial credit; wages/withholding criteria should move if tracking. Contrast class vs f001, not a reason to drop.",per_rubric_max from rubric_result.json; criterion text from frozen registry
openai,retrieval-f030,0,Find 1099 (0.27),unknown,0,1,1,score-sensitive,"designed_partial — 1099+payer pin+file can still look like success if charitable is missed. That is the Type B hypothesis, not a post-hoc story.",per_rubric_max from rubric_result.json; criterion text from frozen registry
