task_id,ok,gold_moved,fails,returncode,guest_json,error
retrieval-f001,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/retrieval-f001/retrieval-f001.guest.json,
retrieval-f003,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/retrieval-f003/retrieval-f003.guest.json,
retrieval-f016,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/retrieval-f016/retrieval-f016.guest.json,
retrieval-f029,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/retrieval-f029/retrieval-f029.guest.json,
retrieval-f030,True,False,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/retrieval-f030/retrieval-f030.guest.json,
aggregation-f003,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/aggregation-f003/aggregation-f003.guest.json,
aggregation-f018,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/aggregation-f018/aggregation-f018.guest.json,
preference_inference-f004,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/preference_inference-f004/preference_inference-f004.guest.json,
preference_inference-f018,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/preference_inference-f018/preference_inference-f018.guest.json,
counterfactual-f004,True,True,,0,/mnt/data2/Vinh/agent/results/phase_b_validate/counterfactual-f004/counterfactual-f004.guest.json,
